frame,id,x,y,width,height,confidence
1,1,375.1,119.0,-1.0,-1.0,1.0
1,2,395.3,573.5,-1.0,-1.0,1.0
1,3,460.9,652.3,-1.0,-1.0,1.0
1,4,600.6,244.8,-1.0,-1.0,1.0
1,5,1568.6,144.8,-1.0,-1.0,1.0
2,1,364.1,120.8,-1.0,-1.0,1.0
2,2,393.2,577.9,-1.0,-1.0,1.0
2,3,457.5,659.0,-1.0,-1.0,1.0
2,4,603.0,242.8,-1.0,-1.0,1.0
2,5,1567.1,140.8,-1.0,-1.0,1.0
3,1,353.7,121.9,-1.0,-1.0,1.0
3,2,391.2,581.8,-1.0,-1.0,1.0
3,3,454.4,664.9,-1.0,-1.0,1.0
3,4,604.7,241.2,-1.0,-1.0,1.0
3,5,1566.5,134.5,-1.0,-1.0,1.0
4,1,344.4,122.7,-1.0,-1.0,1.0
4,2,389.3,585.5,-1.0,-1.0,1.0
4,3,451.2,671.0,-1.0,-1.0,1.0
4,4,606.2,239.8,-1.0,-1.0,1.0
4,5,1569.8,128.2,-1.0,-1.0,1.0
5,1,337.0,123.1,-1.0,-1.0,1.0
5,2,387.4,589.3,-1.0,-1.0,1.0
5,3,447.6,677.4,-1.0,-1.0,1.0
5,4,608.8,238.4,-1.0,-1.0,1.0
5,5,1577.3,121.6,-1.0,-1.0,1.0
6,1,330.0,123.4,-1.0,-1.0,1.0
6,2,385.5,593.2,-1.0,-1.0,1.0
6,3,444.0,683.9,-1.0,-1.0,1.0
6,4,611.8,237.5,-1.0,-1.0,1.0
6,5,1584.3,117.7,-1.0,-1.0,1.0
7,1,323.5,123.3,-1.0,-1.0,1.0
7,2,384.0,596.9,-1.0,-1.0,1.0
7,3,439.4,691.9,-1.0,-1.0,1.0
7,4,615.2,236.9,-1.0,-1.0,1.0
7,5,1591.4,114.1,-1.0,-1.0,1.0
8,1,317.6,122.6,-1.0,-1.0,1.0
8,2,382.7,601.6,-1.0,-1.0,1.0
8,3,432.5,700.2,-1.0,-1.0,1.0
8,4,619.5,236.9,-1.0,-1.0,1.0
8,5,1598.4,110.4,-1.0,-1.0,1.0
9,1,311.5,121.0,-1.0,-1.0,1.0
9,2,382.3,609.5,-1.0,-1.0,1.0
9,3,425.4,707.3,-1.0,-1.0,1.0
9,4,624.4,237.0,-1.0,-1.0,1.0
9,5,1604.6,107.1,-1.0,-1.0,1.0
10,1,305.7,115.4,-1.0,-1.0,1.0
10,2,383.3,617.5,-1.0,-1.0,1.0
10,3,419.5,713.1,-1.0,-1.0,1.0
10,4,628.0,236.5,-1.0,-1.0,1.0
10,5,1610.2,103.9,-1.0,-1.0,1.0
11,1,301.5,108.6,-1.0,-1.0,1.0
11,2,385.4,626.4,-1.0,-1.0,1.0
11,3,414.0,718.5,-1.0,-1.0,1.0
11,4,632.4,236.5,-1.0,-1.0,1.0
11,5,1615.3,100.9,-1.0,-1.0,1.0
