frame,id,keypoint,y,x,confidence
1,1,0,120.0,339.0,1.0
1,1,1,111.0,418.0,1.0
1,2,0,603.0,382.0,1.0
1,2,1,533.0,416.0,1.0
1,3,0,688.0,447.0,1.0
1,3,1,603.0,481.0,1.0
1,4,0,241.0,628.0,1.0
1,4,1,248.0,560.0,1.0
1,5,0,112.0,1552.0,1.0
1,5,1,187.0,1590.0,1.0
2,1,0,121.0,328.0,1.0
2,1,1,115.0,412.0,1.0
2,2,0,607.0,381.0,1.0
2,2,1,538.0,412.0,1.0
2,3,0,693.0,442.0,1.0
2,3,1,611.0,475.0,1.0
2,4,0,242.0,631.0,1.0
2,4,1,247.0,563.0,1.0
2,5,0,106.0,1564.0,1.0
2,5,1,181.0,1591.0,1.0
3,1,0,122.0,319.0,1.0
3,1,1,119.0,402.0,1.0
3,2,0,611.0,379.0,1.0
3,2,1,541.0,410.0,1.0
3,3,0,699.0,440.0,1.0
3,3,1,617.0,471.0,1.0
3,4,0,239.0,632.0,1.0
3,4,1,248.0,566.0,1.0
3,5,0,106.0,1586.0,1.0
3,5,1,172.0,1569.0,1.0
4,1,0,123.0,311.0,1.0
4,1,1,121.0,392.0,1.0
4,2,0,615.0,377.0,1.0
4,2,1,545.0,407.0,1.0
4,3,0,703.0,436.0,1.0
4,3,1,626.0,468.0,1.0
4,4,0,238.0,633.0,1.0
4,4,1,247.0,570.0,1.0
4,5,0,106.0,1597.0,1.0
4,5,1,167.0,1552.0,1.0
5,1,0,122.0,387.0,1.0
5,1,1,124.0,304.0,1.0
5,2,0,618.0,375.0,1.0
5,2,1,548.0,405.0,1.0
5,3,0,707.0,434.0,1.0
5,3,1,634.0,466.0,1.0
5,4,0,238.0,635.0,1.0
5,4,1,246.0,571.0,1.0
5,5,0,104.0,1606.0,1.0
5,5,1,153.0,1542.0,1.0
6,1,0,117.0,295.0,1.0
6,1,1,125.0,375.0,1.0
6,2,0,622.0,374.0,1.0
6,2,1,552.0,403.0,1.0
6,3,0,713.0,424.0,1.0
6,3,1,637.0,458.0,1.0
6,4,0,237.0,639.0,1.0
6,4,1,242.0,570.0,1.0
6,5,0,100.0,1614.0,1.0
6,5,1,142.0,1543.0,1.0
7,1,0,115.0,289.0,1.0
7,1,1,127.0,370.0,1.0
7,2,0,627.0,377.0,1.0
7,2,1,557.0,404.0,1.0
7,3,0,718.0,412.0,1.0
7,3,1,650.0,458.0,1.0
7,4,0,242.0,645.0,1.0
7,4,1,232.0,576.0,1.0
7,5,0,95.0,1621.0,1.0
7,5,1,137.0,1548.0,1.0
8,1,0,122.0,360.0,1.0
8,1,1,123.0,300.0,1.0
8,2,0,635.0,387.0,1.0
8,2,1,562.0,400.0,1.0
8,3,0,727.0,405.0,1.0
8,3,1,662.0,462.0,1.0
8,4,0,243.0,650.0,1.0
8,4,1,232.0,577.0,1.0
8,5,0,90.0,1627.0,1.0
8,5,1,135.0,1556.0,1.0
9,1,0,92.0,295.0,1.0
9,1,1,133.0,347.0,1.0
9,2,0,642.0,392.0,1.0
9,2,1,564.0,385.0,1.0
9,3,0,735.0,400.0,1.0
9,3,1,671.0,461.0,1.0
9,4,0,245.0,655.0,1.0
9,4,1,235.0,580.0,1.0
9,5,0,87.0,1633.0,1.0
9,5,1,134.0,1563.0,1.0
10,1,0,84.0,294.0,1.0
10,1,1,145.0,333.0,1.0
10,2,0,649.0,393.0,1.0
10,2,1,572.0,374.0,1.0
10,3,0,741.0,394.0,1.0
10,3,1,678.0,456.0,1.0
10,4,0,245.0,659.0,1.0
10,4,1,233.0,583.0,1.0
10,5,0,83.0,1638.0,1.0
10,5,1,131.0,1570.0,1.0
11,1,0,75.0,292.0,1.0
11,1,1,149.0,324.0,1.0
11,2,0,658.0,397.0,1.0
11,2,1,579.0,372.0,1.0
11,3,0,747.0,388.0,1.0
11,3,1,681.0,451.0,1.0
11,4,0,246.0,663.0,1.0
11,4,1,229.0,587.0,1.0
11,5,0,82.0,1644.0,1.0
11,5,1,128.0,1577.0,1.0
12,1,0,68.0,288.0,1.0
12,1,1,146.0,315.0,1.0
12,2,0,665.0,399.0,1.0
12,2,1,586.0,372.0,1.0
12,3,0,752.0,385.0,1.0
12,3,1,686.0,444.0,1.0
12,4,0,245.0,668.0,1.0
12,4,1,226.0,591.0,1.0
12,5,0,97.0,1651.0,1.0
12,5,1,122.0,1586.0,1.0
13,1,0,61.0,285.0,1.0
13,1,1,140.0,310.0,1.0
13,2,0,672.0,401.0,1.0
13,2,1,592.0,373.0,1.0
13,3,0,756.0,380.0,1.0
13,3,1,689.0,439.0,1.0
13,4,0,246.0,672.0,1.0
13,4,1,225.0,594.0,1.0
13,5,0,127.0,1641.0,1.0
13,5,1,94.0,1593.0,1.0
14,1,0,54.0,284.0,1.0
14,1,1,134.0,308.0,1.0
14,2,0,678.0,402.0,1.0
14,2,1,601.0,376.0,1.0
14,3,0,760.0,378.0,1.0
14,3,1,694.0,434.0,1.0
14,4,0,248.0,676.0,1.0
14,4,1,226.0,595.0,1.0
14,5,0,139.0,1635.0,1.0
14,5,1,73.0,1607.0,1.0
15,1,0,48.0,282.0,1.0
15,1,1,127.0,305.0,1.0
15,2,0,678.0,415.0,1.0
15,2,1,608.0,382.0,1.0
15,3,0,770.0,385.0,1.0
15,3,1,706.0,426.0,1.0
15,4,0,248.0,679.0,1.0
15,4,1,230.0,601.0,1.0
15,5,0,150.0,1632.0,1.0
15,5,1,71.0,1627.0,1.0
16,1,0,42.0,291.0,1.0
16,1,1,117.0,306.0,1.0
16,2,0,675.0,426.0,1.0
16,2,1,621.0,378.0,1.0
16,3,0,783.0,386.0,1.0
16,3,1,702.0,417.0,1.0
16,4,0,250.0,683.0,1.0
16,4,1,224.0,607.0,1.0
16,5,0,162.0,1637.0,1.0
16,5,1,83.0,1633.0,1.0
17,1,0,33.0,293.0,1.0
17,1,1,112.0,294.0,1.0
17,2,0,677.0,435.0,1.0
17,2,1,631.0,372.0,1.0
17,3,0,791.0,384.0,1.0
17,3,1,703.0,402.0,1.0
17,4,0,242.0,691.0,1.0
17,4,1,221.0,616.0,1.0
17,5,0,176.0,1639.0,1.0
17,5,1,90.0,1631.0,1.0
18,1,0,25.0,294.0,1.0
18,1,1,108.0,286.0,1.0
18,2,0,680.0,442.0,1.0
18,2,1,641.0,370.0,1.0
18,3,0,801.0,382.0,1.0
18,3,1,713.0,394.0,1.0
18,4,0,242.0,687.0,1.0
18,4,1,230.0,622.0,1.0
18,5,0,186.0,1641.0,1.0
18,5,1,104.0,1629.0,1.0
19,1,0,20.0,296.0,1.0
19,1,1,100.0,283.0,1.0
19,2,0,681.0,449.0,1.0
19,2,1,649.0,371.0,1.0
19,3,0,810.0,380.0,1.0
19,3,1,722.0,392.0,1.0
19,4,0,220.0,700.0,1.0
19,4,1,243.0,628.0,1.0
19,5,0,195.0,1643.0,1.0
19,5,1,116.0,1629.0,1.0
20,1,0,19.0,296.0,1.0
20,1,1,97.0,281.0,1.0
20,2,0,685.0,455.0,1.0
20,2,1,654.0,375.0,1.0
20,3,0,817.0,377.0,1.0
20,3,1,731.0,388.0,1.0
20,4,0,211.0,702.0,1.0
20,4,1,253.0,635.0,1.0
20,5,0,204.0,1645.0,1.0
20,5,1,124.0,1630.0,1.0
21,1,0,19.0,295.0,1.0
21,1,1,96.0,280.0,1.0
21,2,0,685.0,461.0,1.0
21,2,1,655.0,383.0,1.0
21,3,0,822.0,361.0,1.0
21,3,1,744.0,381.0,1.0
21,4,0,206.0,707.0,1.0
21,4,1,261.0,646.0,1.0
21,5,0,214.0,1645.0,1.0
21,5,1,128.0,1631.0,1.0
22,1,0,19.0,296.0,1.0
22,1,1,96.0,280.0,1.0
22,2,0,685.0,467.0,1.0
22,2,1,655.0,391.0,1.0
22,3,0,824.0,347.0,1.0
22,3,1,761.0,392.0,1.0
22,4,0,200.0,713.0,1.0
22,4,1,262.0,652.0,1.0
22,5,0,221.0,1647.0,1.0
22,5,1,141.0,1633.0,1.0
23,1,0,19.0,300.0,1.0
23,1,1,97.0,283.0,1.0
23,2,0,686.0,473.0,1.0
23,2,1,661.0,394.0,1.0
23,3,0,828.0,335.0,1.0
23,3,1,775.0,400.0,1.0
23,4,0,196.0,716.0,1.0
23,4,1,257.0,664.0,1.0
23,5,0,229.0,1648.0,1.0
23,5,1,147.0,1634.0,1.0
24,1,0,19.0,310.0,1.0
24,1,1,95.0,285.0,1.0
24,2,0,687.0,478.0,1.0
24,2,1,666.0,401.0,1.0
24,3,0,832.0,325.0,1.0
24,3,1,787.0,401.0,1.0
24,4,0,191.0,724.0,1.0
24,4,1,256.0,664.0,1.0
24,5,0,236.0,1647.0,1.0
24,5,1,157.0,1636.0,1.0
25,1,0,20.0,317.0,1.0
25,1,1,87.0,282.0,1.0
25,2,0,691.0,483.0,1.0
25,2,1,668.0,404.0,1.0
25,3,0,836.0,317.0,1.0
25,3,1,796.0,395.0,1.0
25,4,0,187.0,728.0,1.0
25,4,1,249.0,671.0,1.0
25,5,0,244.0,1647.0,1.0
25,5,1,160.0,1637.0,1.0
26,1,0,19.0,320.0,1.0
26,1,1,83.0,276.0,1.0
26,2,0,691.0,488.0,1.0
26,2,1,669.0,410.0,1.0
26,3,0,839.0,309.0,1.0
26,3,1,799.0,388.0,1.0
26,4,0,182.0,731.0,1.0
26,4,1,244.0,675.0,1.0
26,5,0,249.0,1648.0,1.0
26,5,1,173.0,1638.0,1.0
