frame,id,keypoint,y,x,confidence
1,1,0,464.0,178.0,1.0
1,1,1,488.0,242.0,1.0
1,2,0,460.0,149.0,1.0
1,2,1,527.0,137.0,1.0
1,3,0,484.0,259.0,1.0
1,3,1,540.0,250.0,1.0
1,4,0,648.0,206.0,1.0
1,4,1,665.0,257.0,1.0
1,5,0,581.0,239.0,1.0
1,5,1,604.0,287.0,1.0
1,6,0,234.0,313.0,1.0
1,6,1,246.0,257.0,1.0
2,1,0,467.0,177.0,1.0
2,1,1,484.0,241.0,1.0
2,2,0,468.0,140.0,1.0
2,2,1,536.0,146.0,1.0
2,3,0,484.0,255.0,1.0
2,3,1,541.0,249.0,1.0
2,4,0,650.0,205.0,1.0
2,4,1,663.0,258.0,1.0
2,5,0,581.0,239.0,1.0
2,5,1,605.0,289.0,1.0
2,6,0,239.0,294.0,1.0
2,6,1,253.0,240.0,1.0
3,1,0,469.0,174.0,1.0
3,1,1,480.0,239.0,1.0
3,2,0,507.0,142.0,1.0
3,2,1,573.0,158.0,1.0
3,3,0,484.0,254.0,1.0
3,3,1,541.0,250.0,1.0
3,4,0,644.0,205.0,1.0
3,4,1,663.0,258.0,1.0
3,5,0,580.0,239.0,1.0
3,5,1,610.0,287.0,1.0
3,6,0,249.0,277.0,1.0
3,6,1,261.0,222.0,1.0
4,1,0,472.0,170.0,1.0
4,1,1,479.0,235.0,1.0
4,2,0,557.0,159.0,1.0
4,2,1,623.0,175.0,1.0
4,3,0,483.0,256.0,1.0
4,3,1,541.0,250.0,1.0
4,4,0,640.0,206.0,1.0
4,4,1,664.0,257.0,1.0
4,5,0,579.0,240.0,1.0
4,5,1,604.0,287.0,1.0
4,6,0,258.0,264.0,1.0
4,6,1,273.0,216.0,1.0
5,1,0,476.0,232.0,1.0
5,1,1,478.0,167.0,1.0
5,2,0,574.0,168.0,1.0
5,2,1,641.0,168.0,1.0
5,3,0,482.0,255.0,1.0
5,3,1,541.0,251.0,1.0
5,4,0,636.0,207.0,1.0
5,4,1,665.0,257.0,1.0
5,5,0,579.0,240.0,1.0
5,5,1,607.0,285.0,1.0
5,6,0,253.0,228.0,1.0
5,6,1,264.0,274.0,1.0
6,1,0,471.0,164.0,1.0
6,1,1,480.0,229.0,1.0
6,2,0,579.0,170.0,1.0
6,2,1,646.0,160.0,1.0
6,3,0,479.0,260.0,1.0
6,3,1,539.0,250.0,1.0
6,4,0,632.0,214.0,1.0
6,4,1,665.0,258.0,1.0
6,5,0,580.0,239.0,1.0
6,5,1,607.0,285.0,1.0
6,6,0,258.0,263.0,1.0
6,6,1,268.0,214.0,1.0
7,1,0,467.0,163.0,1.0
7,1,1,480.0,229.0,1.0
7,2,0,581.0,170.0,1.0
