frame,id,x,y,width,height,confidence
1,1,409.2188449848024,167.12158054711247,-1.0,-1.0,1.0
1,2,446.24242424242425,120.3869463869464,-1.0,-1.0,1.0
1,3,631.2112903225807,165.15967741935484,-1.0,-1.0,1.0
1,4,700.8353474320243,319.9712990936556,-1.0,-1.0,1.0
1,5,754.021694214876,430.4307851239669,-1.0,-1.0,1.0
1,6,551.0617391304348,637.6913043478262,-1.0,-1.0,1.0
1,7,856.8835078534032,527.598167539267,-1.0,-1.0,1.0
1,8,607.1165113182424,609.095206391478,-1.0,-1.0,1.0
1,9,491.67587939698484,554.2018425460636,-1.0,-1.0,1.0
1,10,649.6711079943899,610.976858345021,-1.0,-1.0,1.0
2,1,413.7192846034214,166.60730948678068,-1.0,-1.0,1.0
2,2,445.99336283185835,120.93362831858408,-1.0,-1.0,1.0
2,3,631.0927099841522,164.8660855784469,-1.0,-1.0,1.0
2,4,698.9453125,325.4875,-1.0,-1.0,1.0
2,5,762.3448448448448,424.46996996997,-1.0,-1.0,1.0
2,6,551.5035906642728,637.7154398563736,-1.0,-1.0,1.0
2,7,860.4095890410957,530.6575342465753,-1.0,-1.0,1.0
2,8,606.9233289646132,608.3872870249018,-1.0,-1.0,1.0
2,9,484.5724409448818,550.0181102362204,-1.0,-1.0,1.0
2,10,652.0123626373628,608.4821428571429,-1.0,-1.0,1.0
3,1,415.86038961038963,167.43344155844156,-1.0,-1.0,1.0
3,2,445.8477765108324,120.70068415051314,-1.0,-1.0,1.0
3,3,631.3118361153263,164.91274658573596,-1.0,-1.0,1.0
3,4,694.1969230769231,330.41692307692307,-1.0,-1.0,1.0
3,5,772.8487276154573,418.26437323279924,-1.0,-1.0,1.0
3,6,551.658379373849,637.6012891344383,-1.0,-1.0,1.0
3,7,859.8304964539008,531.4730496453901,-1.0,-1.0,1.0
3,8,607.224039829303,607.875533428165,-1.0,-1.0,1.0
3,9,478.61470113085625,547.8505654281098,-1.0,-1.0,1.0
3,10,652.0826666666667,604.6893333333334,-1.0,-1.0,1.0
4,1,420.864238410596,167.46688741721854,-1.0,-1.0,1.0
4,2,446.11835748792265,120.05676328502415,-1.0,-1.0,1.0
4,3,631.3275862068965,164.68883415435135,-1.0,-1.0,1.0
4,4,689.5906095551894,332.23970345963755,-1.0,-1.0,1.0
4,5,779.8015184381778,413.9598698481562,-1.0,-1.0,1.0
4,6,551.6887477313975,637.7141560798548,-1.0,-1.0,1.0
4,7,859.9030898876406,531.248595505618,-1.0,-1.0,1.0
4,8,607.6723202170963,607.3955223880598,-1.0,-1.0,1.0
4,9,469.89425981873114,544.0181268882175,-1.0,-1.0,1.0
4,10,653.5445859872611,598.7025477707008,-1.0,-1.0,1.0
5,1,422.8328025477707,165.86146496815286,-1.0,-1.0,1.0
5,2,446.2995780590717,120.44409282700424,-1.0,-1.0,1.0
5,3,631.4417637271215,164.84941763727122,-1.0,-1.0,1.0
5,4,687.0578778135047,333.52893890675233,-1.0,-1.0,1.0
5,5,781.9305555555555,412.9561965811966,-1.0,-1.0,1.0
5,6,552.0620437956203,637.7153284671532,-1.0,-1.0,1.0
5,7,859.901098901099,531.5412087912088,-1.0,-1.0,1.0
5,8,607.6691176470587,606.156862745098,-1.0,-1.0,1.0
5,9,461.5568720379147,541.2203791469194,-1.0,-1.0,1.0
5,10,656.5292164674636,589.6686586985393,-1.0,-1.0,1.0
6,1,425.255980861244,163.70574162679424,-1.0,-1.0,1.0
6,2,445.9721906923951,120.19580022701477,-1.0,-1.0,1.0
6,3,631.441087613293,164.59214501510573,-1.0,-1.0,1.0
6,4,685.7471910112359,334.70064205457464,-1.0,-1.0,1.0
6,5,786.6297709923664,409.3091603053435,-1.0,-1.0,1.0
6,6,552.5225303292895,637.7374350086657,-1.0,-1.0,1.0
6,7,860.9741258741258,534.1237762237762,-1.0,-1.0,1.0
6,8,607.6261872455902,605.7862957937584,-1.0,-1.0,1.0
6,9,456.7584269662921,538.6059390048154,-1.0,-1.0,1.0
6,10,658.3059701492538,581.1363636363636,-1.0,-1.0,1.0
7,1,430.51010101010104,161.45959595959596,-1.0,-1.0,1.0
7,2,446.2585170340681,120.80460921843687,-1.0,-1.0,1.0
7,3,631.315668202765,164.7058371735791,-1.0,-1.0,1.0
7,4,684.5112903225806,336.20645161290315,-1.0,-1.0,1.0
7,5,793.6237113402063,400.66494845360825,-1.0,-1.0,1.0
7,6,553.4327433628318,637.1265486725664,-1.0,-1.0,1.0
7,7,862.9408450704225,536.5239436619719,-1.0,-1.0,1.0
7,8,607.4323116219667,605.183269476373,-1.0,-1.0,1.0
7,9,448.7591463414634,533.0198170731708,-1.0,-1.0,1.0
7,10,659.6071932299013,572.0119887165022,-1.0,-1.0,1.0
8,1,436.1404320987654,159.6543209876543,-1.0,-1.0,1.0
8,2,446.48759048603927,120.28283350568769,-1.0,-1.0,1.0
8,3,630.9642313546423,164.83637747336374,-1.0,-1.0,1.0
8,4,675.9859813084113,340.10591900311533,-1.0,-1.0,1.0
8,5,798.1262833675563,391.4835728952772,-1.0,-1.0,1.0
8,6,553.9477876106195,637.9690265486727,-1.0,-1.0,1.0
8,7,865.5055710306407,539.491643454039,-1.0,-1.0,1.0
8,8,607.2696629213483,604.7949438202247,-1.0,-1.0,1.0
8,9,441.171875,528.0296875,-1.0,-1.0,1.0
8,10,660.3537271448664,562.8684950773559,-1.0,-1.0,1.0
9,1,440.16566716641677,159.03223388305847,-1.0,-1.0,1.0
9,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
9,3,630.0932343234324,166.0552805280528,-1.0,-1.0,1.0
9,4,669.394819466248,342.1938775510204,-1.0,-1.0,1.0
9,5,802.8118040089087,387.0311804008909,-1.0,-1.0,1.0
9,6,554.8064516129032,639.7921146953405,-1.0,-1.0,1.0
9,7,866.9847645429362,540.8019390581718,-1.0,-1.0,1.0
9,8,607.2540760869565,604.2051630434783,-1.0,-1.0,1.0
9,9,437.36778115501517,526.0851063829788,-1.0,-1.0,1.0
9,10,660.0859872611464,551.3509554140128,-1.0,-1.0,1.0
10,1,440.16566716641677,159.03223388305847,-1.0,-1.0,1.0
10,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
10,3,630.9992481203008,164.71654135338346,-1.0,-1.0,1.0
10,4,663.145896656535,344.28723404255317,-1.0,-1.0,1.0
10,5,804.0986622073577,378.55016722408027,-1.0,-1.0,1.0
10,6,555.3491295938104,640.4129593810445,-1.0,-1.0,1.0
10,7,867.1853625170999,542.5807113543092,-1.0,-1.0,1.0
10,8,608.1069518716578,603.6885026737967,-1.0,-1.0,1.0
10,9,432.19047619047615,521.9642857142857,-1.0,-1.0,1.0
10,10,659.8915343915344,541.9246031746031,-1.0,-1.0,1.0
11,1,447.16566716641677,155.03223388305844,-1.0,-1.0,1.0
11,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
11,3,631.152528548124,164.81973898858075,-1.0,-1.0,1.0
11,4,655.1489028213166,344.96081504702187,-1.0,-1.0,1.0
11,5,805.6042128603103,364.6363636363636,-1.0,-1.0,1.0
11,6,555.9936479128855,640.9664246823958,-1.0,-1.0,1.0
11,7,866.6312584573749,543.5202976995939,-1.0,-1.0,1.0
11,8,609.3986486486486,602.7189189189188,-1.0,-1.0,1.0
11,9,431.5730994152047,519.0804093567251,-1.0,-1.0,1.0
11,10,657.96484375,531.7174479166666,-1.0,-1.0,1.0
12,1,447.16566716641677,155.03223388305844,-1.0,-1.0,1.0
12,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
12,3,630.9309559939303,164.48937784522002,-1.0,-1.0,1.0
12,4,647.9370139968896,343.8685847589425,-1.0,-1.0,1.0
12,5,806.2513873473919,352.70532741398443,-1.0,-1.0,1.0
12,6,556.2122302158274,641.0287769784172,-1.0,-1.0,1.0
12,7,866.6309192200557,543.9025069637883,-1.0,-1.0,1.0
12,8,610.3321964529333,603.018417462483,-1.0,-1.0,1.0
12,9,429.40787518573546,514.4583952451709,-1.0,-1.0,1.0
12,10,655.6621253405996,522.3024523160763,-1.0,-1.0,1.0
13,1,447.16566716641677,155.03223388305844,-1.0,-1.0,1.0
13,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
13,3,631.0414710485134,164.4405320813771,-1.0,-1.0,1.0
13,4,640.7956521739129,342.8898550724638,-1.0,-1.0,1.0
13,5,807.2265877287407,344.2341227125942,-1.0,-1.0,1.0
13,6,556.8622448979592,641.0136054421769,-1.0,-1.0,1.0
13,7,866.3508891928865,544.7818057455539,-1.0,-1.0,1.0
13,8,610.931129476584,602.5922865013774,-1.0,-1.0,1.0
13,9,428.29701492537316,508.3805970149254,-1.0,-1.0,1.0
13,10,654.8296398891966,514.4044321329641,-1.0,-1.0,1.0
14,1,447.16566716641677,155.03223388305844,-1.0,-1.0,1.0
14,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
14,3,630.9930662557781,164.41371340523884,-1.0,-1.0,1.0
14,4,634.5351390922401,341.72840409956075,-1.0,-1.0,1.0
14,5,806.5858416945372,334.34392419175026,-1.0,-1.0,1.0
14,6,556.3896797153025,641.6423487544484,-1.0,-1.0,1.0
14,7,866.0088919288646,544.7229822161423,-1.0,-1.0,1.0
14,8,611.2056555269922,602.2030848329049,-1.0,-1.0,1.0
14,9,425.6212121212122,501.6658692185008,-1.0,-1.0,1.0
14,10,652.0931972789116,508.2850340136055,-1.0,-1.0,1.0
15,1,447.16566716641677,155.03223388305844,-1.0,-1.0,1.0
15,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
15,3,630.6114245416079,164.11071932299012,-1.0,-1.0,1.0
15,4,625.9478330658106,339.11637239165333,-1.0,-1.0,1.0
15,5,804.1603773584906,321.75516621743037,-1.0,-1.0,1.0
15,6,556.3998211091234,641.9508050089446,-1.0,-1.0,1.0
15,7,865.8558863328823,543.81799729364,-1.0,-1.0,1.0
15,8,612.0938303341902,601.1799485861183,-1.0,-1.0,1.0
15,9,422.5734375,496.35625,-1.0,-1.0,1.0
15,10,648.9791386271871,500.2025572005384,-1.0,-1.0,1.0
16,1,459.16566716641677,149.03223388305844,-1.0,-1.0,1.0
16,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
16,3,631.3545454545455,164.4,-1.0,-1.0,1.0
16,4,614.4357945425361,336.11797752808985,-1.0,-1.0,1.0
16,5,799.4747729566095,308.26488395560034,-1.0,-1.0,1.0
16,6,556.6819787985867,642.0229681978799,-1.0,-1.0,1.0
16,7,865.5905459387483,543.0059920106523,-1.0,-1.0,1.0
16,8,612.692513368984,600.5882352941177,-1.0,-1.0,1.0
16,9,419.7891207153503,494.1944858420269,-1.0,-1.0,1.0
16,10,644.347619047619,487.24829931972783,-1.0,-1.0,1.0
17,1,459.16566716641677,149.03223388305844,-1.0,-1.0,1.0
17,2,446.42559188275084,120.05242390078918,-1.0,-1.0,1.0
17,3,631.3677563150075,164.2013372956909,-1.0,-1.0,1.0
17,4,608.3225255972696,333.4897610921502,-1.0,-1.0,1.0
17,5,797.5474137931035,302.03879310344826,-1.0,-1.0,1.0
