frame,id,keypoint,y,x,confidence
1,1,0,165.0,375.0,1.0
1,1,1,170.0,441.0,1.0
1,2,0,107.0,480.0,1.0
1,2,1,122.0,411.0,1.0
1,3,0,138.0,620.0,1.0
1,3,1,192.0,644.0,1.0
1,4,0,300.0,727.0,1.0
1,4,1,341.0,677.0,1.0
1,5,0,421.0,793.0,1.0
1,5,1,438.0,716.0,1.0
1,6,0,608.0,556.0,1.0
1,6,1,668.0,543.0,1.0
1,7,0,510.0,826.0,1.0
1,7,1,550.0,885.0,1.0
1,8,0,583.0,628.0,1.0
1,8,1,630.0,580.0,1.0
1,9,0,545.0,460.0,1.0
1,9,1,565.0,523.0,1.0
1,10,0,576.0,654.0,1.0
1,10,1,646.0,644.0,1.0
2,1,0,166.0,447.0,1.0
2,1,1,169.0,380.0,1.0
2,2,0,107.0,480.0,1.0
2,2,1,123.0,411.0,1.0
2,3,0,136.0,624.0,1.0
2,3,1,192.0,644.0,1.0
2,4,0,301.0,721.0,1.0
2,4,1,349.0,678.0,1.0
2,5,0,413.0,800.0,1.0
2,5,1,436.0,725.0,1.0
2,6,0,608.0,557.0,1.0
2,6,1,668.0,544.0,1.0
2,7,0,510.0,831.0,1.0
2,7,1,553.0,888.0,1.0
2,8,0,584.0,630.0,1.0
2,8,1,631.0,581.0,1.0
2,9,0,534.0,455.0,1.0
2,9,1,561.0,516.0,1.0
2,10,0,573.0,657.0,1.0
2,10,1,643.0,644.0,1.0
3,1,0,168.0,449.0,1.0
3,1,1,165.0,382.0,1.0
3,2,0,107.0,480.0,1.0
3,2,1,123.0,411.0,1.0
3,3,0,136.0,622.0,1.0
3,3,1,193.0,642.0,1.0
3,4,0,308.0,719.0,1.0
3,4,1,351.0,670.0,1.0
3,5,0,404.0,809.0,1.0
3,5,1,433.0,736.0,1.0
3,6,0,608.0,557.0,1.0
3,6,1,668.0,545.0,1.0
3,7,0,512.0,830.0,1.0
3,7,1,553.0,888.0,1.0
3,8,0,582.0,629.0,1.0
3,8,1,630.0,581.0,1.0
3,9,0,537.0,447.0,1.0
3,9,1,559.0,510.0,1.0
3,10,0,568.0,656.0,1.0
3,10,1,640.0,644.0,1.0
4,1,0,162.0,453.0,1.0
4,1,1,171.0,387.0,1.0
4,2,0,121.0,474.0,1.0
4,2,1,118.0,410.0,1.0
4,3,0,136.0,623.0,1.0
4,3,1,192.0,643.0,1.0
4,4,0,307.0,711.0,1.0
4,4,1,354.0,666.0,1.0
4,5,0,394.0,814.0,1.0
4,5,1,434.0,747.0,1.0
4,6,0,608.0,556.0,1.0
4,6,1,668.0,545.0,1.0
4,7,0,510.0,831.0,1.0
4,7,1,553.0,888.0,1.0
4,8,0,582.0,630.0,1.0
4,8,1,630.0,581.0,1.0
4,9,0,529.0,440.0,1.0
4,9,1,553.0,502.0,1.0
4,10,0,563.0,661.0,1.0
4,10,1,634.0,645.0,1.0
5,1,0,157.0,455.0,1.0
5,1,1,172.0,389.0,1.0
5,2,0,108.0,481.0,1.0
5,2,1,121.0,410.0,1.0
5,3,0,137.0,621.0,1.0
5,3,1,193.0,641.0,1.0
5,4,0,311.0,712.0,1.0
5,4,1,353.0,661.0,1.0
5,5,0,392.0,816.0,1.0
5,5,1,431.0,748.0,1.0
5,6,0,608.0,558.0,1.0
5,6,1,668.0,545.0,1.0
5,7,0,512.0,830.0,1.0
5,7,1,552.0,889.0,1.0
5,8,0,580.0,630.0,1.0
5,8,1,628.0,580.0,1.0
5,9,0,529.0,430.0,1.0
5,9,1,550.0,494.0,1.0
5,10,0,553.0,660.0,1.0
5,10,1,625.0,649.0,1.0
6,1,0,152.0,456.0,1.0
6,1,1,175.0,393.0,1.0
6,2,0,108.0,481.0,1.0
6,2,1,121.0,411.0,1.0
6,3,0,136.0,623.0,1.0
6,3,1,193.0,642.0,1.0
6,4,0,313.0,711.0,1.0
6,4,1,353.0,659.0,1.0
6,5,0,386.0,819.0,1.0
6,5,1,432.0,756.0,1.0
6,6,0,608.0,560.0,1.0
6,6,1,668.0,544.0,1.0
6,7,0,512.0,833.0,1.0
6,7,1,556.0,889.0,1.0
6,8,0,579.0,630.0,1.0
6,8,1,627.0,580.0,1.0
6,9,0,527.0,426.0,1.0
6,9,1,551.0,488.0,1.0
6,10,0,545.0,663.0,1.0
6,10,1,616.0,651.0,1.0
7,1,0,149.0,461.0,1.0
7,1,1,175.0,398.0,1.0
7,2,0,108.0,481.0,1.0
7,2,1,122.0,411.0,1.0
7,3,0,137.0,621.0,1.0
7,3,1,193.0,642.0,1.0
7,4,0,316.0,710.0,1.0
7,4,1,352.0,657.0,1.0
7,5,0,376.0,824.0,1.0
7,5,1,423.0,762.0,1.0
7,6,0,608.0,561.0,1.0
7,6,1,667.0,542.0,1.0
7,7,0,515.0,835.0,1.0
7,7,1,558.0,892.0,1.0
7,8,0,579.0,631.0,1.0
7,8,1,628.0,580.0,1.0
7,9,0,520.0,418.0,1.0
7,9,1,546.0,480.0,1.0
7,10,0,536.0,664.0,1.0
7,10,1,607.0,655.0,1.0
8,1,0,146.0,467.0,1.0
8,1,1,171.0,403.0,1.0
8,2,0,121.0,475.0,1.0
8,2,1,116.0,410.0,1.0
8,3,0,136.0,624.0,1.0
8,3,1,193.0,642.0,1.0
8,4,0,320.0,703.0,1.0
8,4,1,357.0,648.0,1.0
8,5,0,366.0,828.0,1.0
8,5,1,416.0,768.0,1.0
8,6,0,609.0,562.0,1.0
8,6,1,668.0,544.0,1.0
8,7,0,517.0,838.0,1.0
8,7,1,562.0,893.0,1.0
8,8,0,579.0,631.0,1.0
8,8,1,628.0,581.0,1.0
8,9,0,512.0,411.0,1.0
8,9,1,544.0,471.0,1.0
8,10,0,527.0,656.0,1.0
8,10,1,598.0,657.0,1.0
9,1,0,140.0,468.0,1.0
9,1,1,171.0,407.0,1.0
9,2,0,108.0,481.0,1.0
9,2,1,122.0,412.0,1.0
9,3,0,135.0,623.0,1.0
9,3,1,205.0,628.0,1.0
9,4,0,323.0,697.0,1.0
9,4,1,355.0,639.0,1.0
9,5,0,355.0,827.0,1.0
9,5,1,416.0,779.0,1.0
9,6,0,613.0,566.0,1.0
9,6,1,668.0,543.0,1.0
9,7,0,517.0,841.0,1.0
9,7,1,564.0,894.0,1.0
9,8,0,578.0,630.0,1.0
9,8,1,626.0,580.0,1.0
9,9,0,512.0,406.0,1.0
9,9,1,541.0,468.0,1.0
9,10,0,515.0,654.0,1.0
9,10,1,587.0,663.0,1.0
10,1,0,-1.0,-1.0,-1.0
10,1,1,-1.0,-1.0,-1.0
10,2,0,-1.0,-1.0,-1.0
10,2,1,-1.0,-1.0,-1.0
10,3,0,135.0,625.0,1.0
10,3,1,193.0,642.0,1.0
10,4,0,328.0,692.0,1.0
10,4,1,358.0,633.0,1.0
10,5,0,345.0,826.0,1.0
10,5,1,409.0,782.0,1.0
10,6,0,614.0,567.0,1.0
10,6,1,668.0,543.0,1.0
10,7,0,516.0,844.0,1.0
10,7,1,569.0,891.0,1.0
10,8,0,582.0,635.0,1.0
10,8,1,627.0,582.0,1.0
10,9,0,505.0,402.0,1.0
10,9,1,540.0,461.0,1.0
10,10,0,506.0,652.0,1.0
10,10,1,577.0,665.0,1.0
11,1,0,-1.0,-1.0,-1.0
11,1,1,-1.0,-1.0,-1.0
11,2,0,-1.0,-1.0,-1.0
11,2,1,-1.0,-1.0,-1.0
11,3,0,136.0,624.0,1.0
11,3,1,192.0,643.0,1.0
11,4,0,332.0,686.0,1.0
11,4,1,355.0,623.0,1.0
11,5,0,328.0,820.0,1.0
11,5,1,398.0,788.0,1.0
11,6,0,613.0,566.0,1.0
11,6,1,667.0,540.0,1.0
11,7,0,517.0,843.0,1.0
11,7,1,571.0,890.0,1.0
11,8,0,577.0,633.0,1.0
11,8,1,625.0,582.0,1.0
11,9,0,500.0,403.0,1.0
11,9,1,539.0,459.0,1.0
11,10,0,495.0,652.0,1.0
11,10,1,567.0,663.0,1.0
12,1,0,-1.0,-1.0,-1.0
12,1,1,-1.0,-1.0,-1.0
12,2,0,-1.0,-1.0,-1.0
12,2,1,-1.0,-1.0,-1.0
12,3,0,135.0,625.0,1.0
12,3,1,193.0,642.0,1.0
12,4,0,336.0,680.0,1.0
12,4,1,349.0,615.0,1.0
12,5,0,314.0,815.0,1.0
12,5,1,389.0,794.0,1.0
12,6,0,614.0,568.0,1.0
12,6,1,667.0,540.0,1.0
12,7,0,517.0,843.0,1.0
12,7,1,571.0,890.0,1.0
12,8,0,577.0,633.0,1.0
12,8,1,626.0,584.0,1.0
12,9,0,493.0,403.0,1.0
12,9,1,535.0,456.0,1.0
12,10,0,486.0,648.0,1.0
12,10,1,557.0,662.0,1.0
13,1,0,-1.0,-1.0,-1.0
13,1,1,-1.0,-1.0,-1.0
13,2,0,-1.0,-1.0,-1.0
13,2,1,-1.0,-1.0,-1.0
13,3,0,135.0,625.0,1.0
13,3,1,192.0,644.0,1.0
13,4,0,339.0,674.0,1.0
13,4,1,346.0,608.0,1.0
13,5,0,305.0,816.0,1.0
13,5,1,381.0,797.0,1.0
13,6,0,614.0,568.0,1.0
13,6,1,668.0,541.0,1.0
13,7,0,517.0,844.0,1.0
13,7,1,573.0,888.0,1.0
13,8,0,576.0,633.0,1.0
13,8,1,625.0,584.0,1.0
13,9,0,483.0,406.0,1.0
13,9,1,531.0,453.0,1.0
13,10,0,479.0,644.0,1.0
13,10,1,549.0,663.0,1.0
14,1,0,-1.0,-1.0,-1.0
14,1,1,-1.0,-1.0,-1.0
14,2,0,-1.0,-1.0,-1.0
14,2,1,-1.0,-1.0,-1.0
14,3,0,136.0,620.0,1.0
14,3,1,192.0,644.0,1.0
14,4,0,339.0,601.0,1.0
14,4,1,343.0,668.0,1.0
14,5,0,295.0,813.0,1.0
14,5,1,372.0,801.0,1.0
14,6,0,615.0,567.0,1.0
14,6,1,668.0,541.0,1.0
14,7,0,518.0,842.0,1.0
14,7,1,573.0,888.0,1.0
14,8,0,576.0,635.0,1.0
14,8,1,627.0,585.0,1.0
14,9,0,474.0,407.0,1.0
14,9,1,529.0,444.0,1.0
14,10,0,473.0,642.0,1.0
14,10,1,543.0,660.0,1.0
15,1,0,-1.0,-1.0,-1.0
15,1,1,-1.0,-1.0,-1.0
15,2,0,-1.0,-1.0,-1.0
15,2,1,-1.0,-1.0,-1.0
15,3,0,136.0,620.0,1.0
15,3,1,193.0,642.0,1.0
15,4,0,332.0,594.0,1.0
15,4,1,343.0,658.0,1.0
15,5,0,282.0,807.0,1.0
15,5,1,361.0,799.0,1.0
15,6,0,616.0,567.0,1.0
15,6,1,668.0,541.0,1.0
15,7,0,516.0,843.0,1.0
15,7,1,573.0,887.0,1.0
15,8,0,575.0,636.0,1.0
15,8,1,625.0,586.0,1.0
15,9,0,467.0,405.0,1.0
15,9,1,525.0,441.0,1.0
15,10,0,467.0,634.0,1.0
15,10,1,534.0,658.0,1.0
16,1,0,-1.0,-1.0,-1.0
16,1,1,-1.0,-1.0,-1.0
16,2,0,-1.0,-1.0,-1.0
16,2,1,-1.0,-1.0,-1.0
16,3,0,136.0,621.0,1.0
16,3,1,193.0,642.0,1.0
16,4,0,329.0,582.0,1.0
16,4,1,340.0,647.0,1.0
16,5,0,269.0,793.0,1.0
16,5,1,347.0,803.0,1.0
16,6,0,615.0,566.0,1.0
16,6,1,667.0,540.0,1.0
16,7,0,515.0,843.0,1.0
16,7,1,571.0,889.0,1.0
16,8,0,574.0,635.0,1.0
16,8,1,623.0,586.0,1.0
16,9,0,466.0,402.0,1.0
16,9,1,523.0,438.0,1.0
16,10,0,454.0,630.0,1.0
16,10,1,521.0,654.0,1.0
17,1,0,-1.0,-1.0,-1.0
17,1,1,-1.0,-1.0,-1.0
17,2,0,-1.0,-1.0,-1.0
17,2,1,-1.0,-1.0,-1.0
17,3,0,136.0,620.0,1.0
17,3,1,193.0,642.0,1.0
17,4,0,325.0,577.0,1.0
17,4,1,340.0,640.0,1.0
17,5,0,262.0,792.0,1.0
17,5,1,340.0,802.0,1.0
17,6,0,616.0,568.0,1.0
17,6,1,667.0,540.0,1.0
17,7,0,514.0,840.0,1.0
17,7,1,569.0,887.0,1.0
17,8,0,573.0,636.0,1.0
17,8,1,624.0,587.0,1.0
17,9,0,458.0,400.0,1.0
17,9,1,514.0,437.0,1.0
17,10,0,442.0,632.0,1.0
17,10,1,512.0,649.0,1.0
18,1,0,-1.0,-1.0,-1.0
18,1,1,-1.0,-1.0,-1.0
18,2,0,-1.0,-1.0,-1.0
18,2,1,-1.0,-1.0,-1.0
18,3,0,136.0,620.0,1.0
18,3,1,192.0,644.0,1.0
18,4,0,317.0,567.0,1.0
18,4,1,339.0,630.0,1.0
18,5,0,260.0,792.0,1.0
18,5,1,338.0,797.0,1.0
18,6,0,616.0,569.0,1.0
18,6,1,667.0,540.0,1.0
18,7,0,514.0,834.0,1.0
18,7,1,559.0,889.0,1.0
18,8,0,572.0,635.0,1.0
18,8,1,623.0,588.0,1.0
18,9,0,447.0,397.0,1.0
18,9,1,505.0,432.0,1.0
18,10,0,431.0,630.0,1.0
18,10,1,500.0,648.0,1.0
19,1,0,-1.0,-1.0,-1.0
19,1,1,-1.0,-1.0,-1.0
19,2,0,-1.0,-1.0,-1.0
19,2,1,-1.0,-1.0,-1.0
19,3,0,136.0,621.0,1.0
19,3,1,192.0,644.0,1.0
19,4,0,316.0,560.0,1.0
19,4,1,337.0,625.0,1.0
19,5,0,257.0,800.0,1.0
19,5,1,336.0,797.0,1.0
19,6,0,619.0,575.0,1.0
19,6,1,666.0,539.0,1.0
19,7,0,512.0,828.0,1.0
19,7,1,546.0,891.0,1.0
19,8,0,571.0,636.0,1.0
19,8,1,621.0,588.0,1.0
19,9,0,442.0,393.0,1.0
19,9,1,500.0,428.0,1.0
19,10,0,423.0,619.0,1.0
19,10,1,489.0,647.0,1.0
20,1,0,-1.0,-1.0,-1.0
20,1,1,-1.0,-1.0,-1.0
20,2,0,-1.0,-1.0,-1.0
20,2,1,-1.0,-1.0,-1.0
20,3,0,136.0,620.0,1.0
20,3,1,192.0,644.0,1.0
20,4,0,314.0,555.0,1.0
20,4,1,338.0,619.0,1.0
20,5,0,251.0,794.0,1.0
20,5,1,331.0,799.0,1.0
20,6,0,617.0,572.0,1.0
20,6,1,666.0,539.0,1.0
20,7,0,511.0,824.0,1.0
20,7,1,535.0,891.0,1.0
20,8,0,571.0,637.0,1.0
20,8,1,621.0,589.0,1.0
20,9,0,432.0,390.0,1.0
