X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
459.85	657.37	NaN	393.9	578.17	NaN	603.95	244.9	NaN	1567.3	142.51	NaN	371.6	120.74	NaN
456.43	664.32	NaN	391.7	583.05	NaN	606.34	242.57	NaN	1565.3	138.53	NaN	360.93	121.86	NaN
453.22	670.03	NaN	389.63	587.08	NaN	608.41	240.66	NaN	1566.8	132.25	NaN	355.92	122.81	NaN
449.59	676.53	NaN	387.78	590.94	NaN	609.89	239.22	NaN	1571.4	126.49	NaN	345.13	123.58	NaN
446.69	681.79	NaN	386.12	594.03	NaN	610.35	238.19	NaN	1580.2	120.37	NaN	338.88	124.17	NaN
443.96	686.92	NaN	384.4	597.66	NaN	611.79	237.26	NaN	1588.8	116.15	NaN	332.64	127.89	NaN
439.16	694.92	NaN	382.79	601.1	NaN	615.73	237.34	NaN	1596	112.41	NaN	326.87	124.52	NaN
432.03	702.4	NaN	382.36	605.44	NaN	622.09	237.57	NaN	1602.3	108.88	NaN	323.01	124.79	NaN
423.33	710.53	NaN	382.86	612.38	NaN	627.66	237.37	NaN	1609.5	104.61	NaN	309.72	120.16	NaN
416.09	717.51	NaN	384.63	620.94	NaN	632.16	237.35	NaN	1615.6	100.87	NaN	304.83	112.91	NaN
410.22	723.67	NaN	387.68	632.25	NaN	637.03	237.91	NaN	1621	97.705	NaN	302.29	107	NaN
405.32	728.75	NaN	388.99	636.97	NaN	640.99	238.41	NaN	1626.6	97.426	NaN	297.36	96.097	NaN
401.49	732.54	NaN	391.37	645.05	NaN	643.93	238.78	NaN	1631.8	100.65	NaN	294.79	89.204	NaN
397.42	736.69	NaN	392.85	650.47	NaN	648.01	239.2	NaN	1634.1	108.5	NaN	292.64	84.74	NaN
394.12	739.94	NaN	394.69	655.15	NaN	651.84	239.57	NaN	1634.5	122.77	NaN	291.88	85.098	NaN
389.74	750.21	NaN	399.61	661.8	NaN	656.34	241	NaN	1635.1	136.02	NaN	287.72	78.879	NaN
387.72	759.42	NaN	408.81	668.03	NaN	662.37	242.44	NaN	1636.1	146.06	NaN	286.85	76.305	NaN
385.58	770.47	NaN	415.31	670.63	NaN	667.89	242.64	NaN	1637.2	156.93	NaN	285.3	75.101	NaN
384.05	777.77	NaN	421.48	672.25	NaN	674.83	241.31	NaN	1638.6	167.41	NaN	276.66	57.025	NaN
382.14	788.99	NaN	427.98	674.46	NaN	682.93	236.78	NaN	1639.8	176.22	NaN	325.53	564.7	NaN
381.15	794.44	NaN	432.64	676.2	NaN	688.99	231.04	NaN	1640.8	183.31	NaN	NaN	NaN	NaN
378.68	800.88	NaN	438.85	678.05	NaN	693.89	225.76	NaN	1642.3	193.23	NaN	NaN	NaN	NaN
369.58	809.71	NaN	445.07	679.46	NaN	698.71	220.52	NaN	1643	200.41	NaN	NaN	NaN	NaN
360.68	815.13	NaN	451.39	681.01	NaN	705.02	213.63	NaN	1643.5	205.79	NaN	NaN	NaN	NaN
350.5	820.22	NaN	456.79	682.64	NaN	708.02	210.91	NaN	1644	212.75	NaN	328.5	568.5	NaN
341.59	824.16	NaN	461.14	684.18	NaN	712	206.69	NaN	1644.9	220.03	NaN	NaN	NaN	NaN
333.5	827.66	NaN	467.48	686.8	NaN	716.84	201.95	NaN	1645.3	226.09	NaN	NaN	NaN	NaN
325.9	831.07	NaN	469.34	687.73	NaN	721.28	200.15	NaN	1645.8	231.57	NaN	315.86	44.776	NaN
323.72	832.19	NaN	474.18	689.42	NaN	727.44	200.27	NaN	1646.4	237.45	NaN	307.79	40.282	NaN
324.38	831.04	NaN	477.87	691.01	NaN	735.36	204.35	NaN	1647.1	243.88	NaN	299.64	45.895	NaN
320.22	832.72	NaN	480.84	692.63	NaN	740.79	209.33	NaN	1648.8	250.09	NaN	312.12	54.866	NaN
316.4	833.88	NaN	488.88	695.68	NaN	745.76	215.24	NaN	1650.5	253.66	NaN	314.13	54.879	NaN
310.53	835.87	NaN	499.27	697.19	NaN	750.07	221.47	NaN	1653.8	257.3	NaN	313.33	51.309	NaN
305.52	837.82	NaN	508.49	696.56	NaN	753.39	226.81	NaN	1658.9	264.34	NaN	307.72	43.685	NaN
297.38	840.11	NaN	516.26	695.79	NaN	756.31	231.52	NaN	1664.7	279.34	NaN	307.54	46.518	NaN
289.11	842.81	NaN	525.32	694.99	NaN	758.68	235.97	NaN	1658.6	294.69	NaN	302.08	50.674	NaN
283.45	845.36	NaN	533.31	693.6	NaN	761.24	240.78	NaN	1648.5	304.96	NaN	310.89	56.36	NaN
277.01	848.45	NaN	540.09	692.04	NaN	763.4	245.16	NaN	1637.9	313.56	NaN	316.49	62.183	NaN
270.42	851.45	NaN	546.68	691	NaN	765	248.2	NaN	1626.8	322.48	NaN	312.69	56.686	NaN
264.87	853.79	NaN	553.42	690.09	NaN	767.09	254.03	NaN	1617.9	330.08	NaN	299.88	56.909	NaN
261.05	855.84	NaN	558.31	689.09	NaN	769.49	263.39	NaN	1610	337.19	NaN	282.91	69.322	NaN
255.35	860.49	NaN	565.96	686.63	NaN	771.69	271.97	NaN	1602.2	344.24	NaN	276.83	79.328	NaN
250.85	869.05	NaN	572.25	685.2	NaN	773.2	281.48	NaN	1596.9	349.13	NaN	276.22	83.402	NaN
248.23	875.63	NaN	582.13	684.05	NaN	775.2	291.41	NaN	1588.7	357.1	NaN	275.18	88.552	NaN
245.64	883.18	NaN	588.72	683.51	NaN	776.78	299.38	NaN	1583.5	362.17	NaN	273.05	94.06	NaN
243.82	889.15	NaN	593.25	683.56	NaN	778.09	307.88	NaN	1578	368.1	NaN	270.67	99.366	NaN
242.51	893.46	NaN	599.79	685.54	NaN	779.15	316.5	NaN	1573.3	373.02	NaN	267.69	105.45	NaN
241.83	901.75	NaN	610.19	691.04	NaN	778.36	322.18	NaN	1568.7	378.1	NaN	264.63	111.21	NaN
241.78	909.33	NaN	621	696.17	NaN	775.79	327.11	NaN	1565	382.44	NaN	261.25	116.83	NaN
241.46	915.68	NaN	629.57	700.66	NaN	770.88	332.99	NaN	1560.7	387.31	NaN	258.65	121.46	NaN
241.19	921.6	NaN	636.14	705.52	NaN	765.88	337.71	NaN	1555.5	395.89	NaN	255.82	126.22	NaN
241.09	925.25	NaN	643.28	710.87	NaN	761.63	341.4	NaN	1545.6	413.61	NaN	252.83	131.68	NaN
240.73	929.58	NaN	653.2	717.92	NaN	754.69	346.37	NaN	1531.7	429.39	NaN	252.75	132.48	NaN
240.35	934.21	NaN	660.22	723.86	NaN	749.43	349.73	NaN	1519.5	441.35	NaN	255.28	131.01	NaN
240.01	938.79	NaN	667.26	729.96	NaN	744.94	352.77	NaN	1505.5	454.64	NaN	255.47	134.66	NaN
240.24	940.15	NaN	673.35	734.8	NaN	740.26	356.11	NaN	1495	464.55	NaN	255.75	138.07	NaN
245.99	942.37	NaN	680.51	740.89	NaN	734.52	358.77	NaN	1484.1	474.86	NaN	257.17	139.36	NaN
251.42	944.96	NaN	685.5	746.52	NaN	727.74	362.52	NaN	1473.8	484.57	NaN	253.15	143.04	NaN
248.3	941.75	NaN	690.34	755.3	NaN	719.59	364.04	NaN	1464.4	493.28	NaN	241.38	151.11	NaN
242.04	931.34	NaN	694.25	763.71	NaN	709.22	359.3	NaN	1454.9	502.05	NaN	236.79	158.73	NaN
241.54	925.64	NaN	697.52	771.17	NaN	700.03	352.14	NaN	1446.4	509.98	NaN	235.55	168.72	NaN
241.07	920.6	NaN	700.52	778.29	NaN	692.5	344.66	NaN	1438.4	517.37	NaN	235.09	176.57	NaN
242.51	913.33	NaN	703.41	785.95	NaN	684.47	336.12	NaN	1428.1	524.64	NaN	234.45	185.06	NaN
248.64	899.3	NaN	705.16	791.05	NaN	677.68	328.57	NaN	1416.8	521.76	NaN	233.86	194.2	NaN
255.82	883.8	NaN	707.05	796.5	NaN	672.1	321.91	NaN	1403.2	507.95	NaN	233.46	199.32	NaN
262.04	870.17	NaN	708.81	802.08	NaN	667.9	316.94	NaN	1397.3	497.27	NaN	232.71	204.5	NaN
269.17	855.54	NaN	709.62	807.71	NaN	664.38	307.82	NaN	1393	489.08	NaN	232.38	207.37	NaN
274.61	843.84	NaN	707.64	816.3	NaN	666.29	295.61	NaN	1388.6	481.86	NaN	232.68	209.53	NaN
279.84	832.31	NaN	704.54	825.98	NaN	671.54	282.71	NaN	1384.2	475.25	NaN	232.69	212.43	NaN
285.21	819.06	NaN	701.14	838.03	NaN	676.89	269.91	NaN	1380.3	469.28	NaN	233.23	213.91	NaN
289.83	807.12	NaN	698.11	847.34	NaN	681.82	258.23	NaN	1376.9	463.99	NaN	233.87	214.94	NaN
294.32	795.68	NaN	695.08	855.69	NaN	685.63	249.07	NaN	1370.8	458.66	NaN	233.63	222.27	NaN
298.03	785.84	NaN	691.86	863.64	NaN	690.21	240.91	NaN	1360.1	453.29	NaN	235.44	237.06	NaN
299.52	774.03	NaN	688.64	871.28	NaN	697.53	233.16	NaN	1349.5	448.71	NaN	239.17	246.35	NaN
300.41	755.22	NaN	686.55	875.29	NaN	704.63	227.43	NaN	1340.9	445.17	NaN	241.68	253.7	NaN
301.63	738.4	NaN	682.14	879.48	NaN	712.02	221.92	NaN	1332.7	441.88	NaN	243.64	260.37	NaN
302.6	724.45	NaN	666.56	879.01	NaN	720.09	216.18	NaN	1325.3	438.64	NaN	245.51	267.45	NaN
303.31	710.6	NaN	653.98	876.38	NaN	727.3	210.82	NaN	1319	435.73	NaN	247.1	273.53	NaN
303.79	698.32	NaN	641.29	874.79	NaN	734.13	205.53	NaN	1312.6	432.61	NaN	249.34	278.71	NaN
304.18	684.57	NaN	627.79	873.5	NaN	739.56	201.23	NaN	1306.3	429.48	NaN	251.74	282.72	NaN
304.18	673.54	NaN	617.55	872.33	NaN	745.15	196.86	NaN	1300.8	426.64	NaN	255.4	290.05	NaN
304.42	662.98	NaN	607.01	871.11	NaN	749.96	192.88	NaN	1295.6	423.9	NaN	258.75	295.12	NaN
305.27	653.95	NaN	598.65	870.12	NaN	755.25	188.44	NaN	1290.7	421.19	NaN	263.99	304.47	NaN
307.84	646.37	NaN	593.41	869.42	NaN	759.26	185.19	NaN	1285.8	418.59	NaN	266.26	308.65	NaN
313.76	637.53	NaN	588.41	868.79	NaN	764.59	180.63	NaN	1281.6	414.83	NaN	269.2	315.25	NaN
320.88	628.11	NaN	584.27	868.57	NaN	769.23	176.66	NaN	1275.5	406.08	NaN	269.8	317.42	NaN
328.45	619.43	NaN	580.46	868.08	NaN	773.49	172.99	NaN	1269.3	396.87	NaN	271.08	321.95	NaN
331.69	615.94	NaN	576.23	867.51	NaN	776.85	170.17	NaN	1263.7	387.63	NaN	272.51	327.7	NaN
337.72	610.45	NaN	573.46	867.37	NaN	780.95	167.71	NaN	1259	378.28	NaN	273.73	333.47	NaN
346.88	604.87	NaN	568.9	868.18	NaN	786.84	165.43	NaN	1255.3	370.2	NaN	275.39	340.27	NaN
353.76	601.45	NaN	567	868.63	NaN	790.79	164.6	NaN	1251.8	362.21	NaN	276.78	345.05	NaN
360.11	598.25	NaN	561.1	870.19	NaN	795.54	163.4	NaN	1247.7	355.52	NaN	278.08	349.56	NaN
363.55	596.16	NaN	554.18	871.07	NaN	801.37	161.26	NaN	1239.5	348.18	NaN	279.12	354.39	NaN
370.49	592.79	NaN	547.32	872.37	NaN	803.06	159.21	NaN	1230.3	342.72	NaN	280.11	359.28	NaN
375.86	589.16	NaN	541.22	873.76	NaN	808.57	155.86	NaN	1220.8	338.21	NaN	280.3	366.37	NaN
383.21	581.88	NaN	537.83	876.18	NaN	814.87	150.62	NaN	1211.8	334.32	NaN	279.55	370.4	NaN
388.9	574.52	NaN	538.5	882.88	NaN	818.76	146.28	NaN	1203.8	330.86	NaN	277.77	376.48	NaN
393.42	567.78	NaN	544.88	893.93	NaN	820.99	143.63	NaN	1195.8	327.42	NaN	275.93	383.29	NaN
396.39	562.62	NaN	552.39	904.98	NaN	825.14	139.37	NaN	1188.8	324.41	NaN	273.03	393.99	NaN
398.87	557.91	NaN	559.67	916.81	NaN	828.26	136.04	NaN	1179	323.97	NaN	271.83	400.84	NaN
399.7	555.3	NaN	565.43	927.33	NaN	831.26	132.8	NaN	1167.3	330.7	NaN	269.56	418.22	NaN
405.36	550.78	NaN	570.72	937.7	NaN	835.86	128.38	NaN	1151.8	340.33	NaN	269.42	425.16	NaN
411.98	547.15	NaN	576.23	948.89	NaN	835.93	126.6	NaN	1137.6	348.91	NaN	267.23	424.07	NaN
420.58	543.04	NaN	580.33	957.21	NaN	837.46	124.31	NaN	1125.9	356.79	NaN	267.3	413.39	NaN
427	539.44	NaN	594.88	963.06	NaN	839.96	123.5	NaN	1115.5	364.59	NaN	263.33	454.61	NaN
432.2	537.14	NaN	615.33	950.53	NaN	841.85	124.16	NaN	1104.4	372.8	NaN	282.81	539.89	NaN
436.92	534	NaN	640.25	935.57	NaN	845.03	125.52	NaN	1093.9	380.55	NaN	265.06	440.38	NaN
443.03	528.57	NaN	663.21	924.06	NaN	848.82	127.32	NaN	1084.3	387.62	NaN	250.61	568.67	NaN
