X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
459.85	657.37	0.99957	393.9	578.17	1	603.95	244.9	1	1567.3	142.51	1	371.6	120.74	0.9913
456.43	664.32	0.99957	391.7	583.05	1	606.34	242.57	1	1565.3	138.53	1	360.93	121.86	0.9913
453.22	670.03	0.99957	389.63	587.08	1	608.41	240.66	1	1566.8	132.25	1	355.92	122.81	0.9913
449.59	676.53	0.99957	387.78	590.94	1	609.89	239.22	1	1571.4	126.49	1	345.13	123.58	0.9913
446.69	681.79	0.99957	386.12	594.03	1	610.35	238.19	1	1580.2	120.37	1	338.88	124.17	0.9913
443.96	686.92	0.99957	384.4	597.66	1	611.79	237.26	1	1588.8	116.15	1	332.64	127.89	0.9913
439.16	694.92	0.99957	382.79	601.1	1	615.73	237.34	1	1596	112.41	1	326.87	124.52	0.9913
432.03	702.4	0.99957	382.36	605.44	1	622.09	237.57	1	1602.3	108.88	1	323.01	124.79	0.9913
423.33	710.53	0.99957	382.86	612.38	1	627.66	237.37	1	1609.5	104.61	1	309.72	120.16	0.9913
416.09	717.51	0.99957	384.63	620.94	1	632.16	237.35	1	1615.6	100.87	1	304.83	112.91	0.99292
410.22	723.67	0.99957	387.68	632.25	1	637.03	237.91	1	1621	97.705	1	302.29	107	0.99292
405.32	728.75	0.99957	388.99	636.97	1	640.99	238.41	1	1626.6	97.426	1	297.36	96.097	0.99292
401.49	732.54	0.99957	391.37	645.05	1	643.93	238.78	1	1631.8	100.65	1	294.79	89.204	0.99292
397.42	736.69	0.99957	392.85	650.47	1	648.01	239.2	1	1634.1	108.5	1	292.64	84.74	0.99292
394.12	739.94	0.99957	394.69	655.15	1	651.84	239.57	1	1634.5	122.77	1	291.88	85.098	0.99292
389.74	750.21	0.99957	399.61	661.8	1	656.34	241	1	1635.1	136.02	1	287.72	78.879	0.99292
387.72	759.42	0.99957	408.81	668.03	1	662.37	242.44	1	1636.1	146.06	1	286.85	76.305	0.99292
385.58	770.47	0.99957	415.31	670.63	1	667.89	242.64	1	1637.2	156.93	1	285.3	75.101	0.99292
384.05	777.77	0.99957	421.48	672.25	1	674.83	241.31	1	1638.6	167.41	1	276.66	57.025	0.99292
382.14	788.99	0.99957	427.98	674.46	1	682.93	236.78	1	1639.8	176.22	1	325.53	564.7	0.98275
381.15	794.44	0.99957	432.64	676.2	1	688.99	231.04	1	1640.8	183.31	1	276.5	580.5	-1
378.68	800.88	0.99957	438.85	678.05	1	693.89	225.76	1	1642.3	193.23	1	289.5	577.5	-2
369.58	809.71	0.99957	445.07	679.46	1	698.71	220.52	1	1643	200.41	1	302.5	574.5	-2
360.68	815.13	0.99957	451.39	681.01	1	705.02	213.63	1	1643.5	205.79	1	315.5	571.5	-2
350.5	820.22	0.99957	456.79	682.64	1	708.02	210.91	1	1644	212.75	1	328.5	568.5	0.98275
341.59	824.16	0.99957	461.14	684.18	1	712	206.69	1	1644.9	220.03	1	276.5	580.5	-1
333.5	827.66	0.99957	467.48	686.8	1	716.84	201.95	1	1645.3	226.09	1	282.89	574.99	-1
325.9	831.07	0.99957	469.34	687.73	1	721.28	200.15	1	1645.8	231.57	1	315.86	44.776	1
323.72	832.19	0.99957	474.18	689.42	1	727.44	200.27	1	1646.4	237.45	1	307.79	40.282	1
324.38	831.04	0.99957	477.87	691.01	1	735.36	204.35	1	1647.1	243.88	1	299.64	45.895	1
320.22	832.72	0.99957	480.84	692.63	1	740.79	209.33	1	1648.8	250.09	1	312.12	54.866	1
316.4	833.88	0.99957	488.88	695.68	1	745.76	215.24	1	1650.5	253.66	1	314.13	54.879	1
310.53	835.87	0.99957	499.27	697.19	1	750.07	221.47	1	1653.8	257.3	1	313.33	51.309	1
305.52	837.82	0.99957	508.49	696.56	1	753.39	226.81	1	1658.9	264.34	1	307.72	43.685	1
