frame,id,x,y,width,height,confidence
1,1,392.51300000000003,577.447,-1,-1,-1
1,2,1566.5,141.172,-1,-1,-1
1,3,372.934,118.684,-1,-1,-1
1,4,458.744,656.451,-1,-1,-1
1,5,602.525,243.878,-1,-1,-1
2,1,390.738,581.313,-1,-1,-1
2,2,1565.15,137.149,-1,-1,-1
2,3,362.392,120.421,-1,-1,-1
2,4,455.622,662.3710000000001,-1,-1,-1
2,5,605.741,241.351,-1,-1,-1
3,1,388.818,585.126,-1,-1,-1
3,2,1567.15,127.786,-1,-1,-1
3,3,352.30100000000004,121.52600000000001,-1,-1,-1
3,4,452.264,668.4830000000001,-1,-1,-1
3,5,606.653,239.988,-1,-1,-1
4,1,386.84000000000003,589.2130000000001,-1,-1,-1
4,2,1571.5,124.274,-1,-1,-1
4,3,342.94899999999996,122.26299999999999,-1,-1,-1
4,4,448.971,674.3580000000001,-1,-1,-1
4,5,608.116,238.61599999999999,-1,-1,-1
5,1,384.78,593.4630000000001,-1,-1,-1
5,2,1578.46,119.97,-1,-1,-1
5,3,334.067,122.601,-1,-1,-1
5,4,446.048,679.547,-1,-1,-1
5,5,610.881,237.28099999999998,-1,-1,-1
6,1,382.942,597.552,-1,-1,-1
6,2,1587.33,115.279,-1,-1,-1
6,3,327.139,122.743,-1,-1,-1
6,4,442.22900000000004,687.459,-1,-1,-1
6,5,615.582,236.885,-1,-1,-1
7,1,381.178,601.232,-1,-1,-1
7,2,1594.65,111.6,-1,-1,-1
7,3,320.45799999999997,122.602,-1,-1,-1
7,4,437.034,694.745,-1,-1,-1
7,5,619.483,236.983,-1,-1,-1
8,1,380.66700000000003,607.085,-1,-1,-1
8,2,1601.55,107.743,-1,-1,-1
8,3,315.557,122.234,-1,-1,-1
8,4,429.063,702.827,-1,-1,-1
8,5,624.467,236.988,-1,-1,-1
9,1,382.39599999999996,615.547,-1,-1,-1
9,2,1607.67,104.20100000000001,-1,-1,-1
9,3,309.294,119.71,-1,-1,-1
9,4,421.961,709.409,-1,-1,-1
9,5,628.1659999999999,236.602,-1,-1,-1
10,1,384.34799999999996,623.389,-1,-1,-1
10,2,1612.71,101.3,-1,-1,-1
10,3,304.273,114.015,-1,-1,-1
10,4,415.736,715.505,-1,-1,-1
10,5,632.4390000000001,236.579,-1,-1,-1
11,1,386.582,631.806,-1,-1,-1
11,2,1617.85,98.2105,-1,-1,-1
11,3,300.578,107.175,-1,-1,-1
11,4,410.883,720.691,-1,-1,-1
11,5,637.143,237.145,-1,-1,-1
12,1,388.442,638.003,-1,-1,-1
12,2,1623.19,96.6906,-1,-1,-1
12,3,297.3065,99.6246,-1,-1,-1
12,4,406.202,725.572,-1,-1,-1
12,5,639.808,237.327,-1,-1,-1
13,1,390.096,643.896,-1,-1,-1
13,2,1629.24,98.7092,-1,-1,-1
13,3,294.4649,92.13799999999999,-1,-1,-1
13,4,402.124,729.618,-1,-1,-1
13,5,642.8330000000001,237.63299999999998,-1,-1,-1
14,1,392.34799999999996,651.365,-1,-1,-1
14,2,1633.33,106.521,-1,-1,-1
14,3,292.0509,86.2473,-1,-1,-1
14,4,397.97299999999996,733.715,-1,-1,-1
14,5,646.5440000000001,238.03099999999998,-1,-1,-1
15,1,395.26,658.153,-1,-1,-1
15,2,1634.02,119.89399999999999,-1,-1,-1
15,3,289.5022,79.6124,-1,-1,-1
15,4,392.944,738.7389999999999,-1,-1,-1
15,5,651.975,238.85299999999998,-1,-1,-1
16,1,400.90200000000004,663.765,-1,-1,-1
16,2,1634.48,133.102,-1,-1,-1
16,3,287.5742,73.6629,-1,-1,-1
16,4,388.703,747.765,-1,-1,-1
16,5,655.2919999999999,239.81,-1,-1,-1
17,1,408.571,667.926,-1,-1,-1
17,2,1635.45,144.644,-1,-1,-1
17,3,287.219,65.5979,-1,-1,-1
17,4,386.316,757.65,-1,-1,-1
17,5,661.009,241.519,-1,-1,-1
18,1,416.075,670.658,-1,-1,-1
18,2,1636.59,156.745,-1,-1,-1
18,3,288.261,56.8012,-1,-1,-1
18,4,384.547,768.143,-1,-1,-1
18,5,668.681,242.053,-1,-1,-1
19,1,422.293,672.21,-1,-1,-1
19,2,1637.82,165.946,-1,-1,-1
19,3,289.711,49.6906,-1,-1,-1
19,4,382.608,778.0889999999999,-1,-1,-1
19,5,676.288,239.868,-1,-1,-1
20,1,428.15200000000004,673.9069999999999,-1,-1,-1
20,2,1638.93,174.065,-1,-1,-1
20,3,290.55039999999997,48.5579,-1,-1,-1
20,4,381.061,786.432,-1,-1,-1
20,5,683.191,235.046,-1,-1,-1
21,1,433.632,676.081,-1,-1,-1
21,2,1639.88,181.297,-1,-1,-1
21,3,291.37739999999997,49.31,-1,-1,-1
21,4,379.581,793.2239999999999,-1,-1,-1
21,5,688.202,229.915,-1,-1,-1
22,1,438.297,677.329,-1,-1,-1
22,2,1641.05,189.107,-1,-1,-1
22,3,292.0174,49.0633,-1,-1,-1
22,4,374.048,802.785,-1,-1,-1
22,5,692.649,225.12099999999998,-1,-1,-1
23,1,444.315,678.637,-1,-1,-1
23,2,1641.98,196.98,-1,-1,-1
23,3,292.4752,48.5851,-1,-1,-1
23,4,364.858,810.94,-1,-1,-1
23,5,697.675,219.595,-1,-1,-1
24,1,451.625,680.3580000000001,-1,-1,-1
24,2,1642.78,204.511,-1,-1,-1
24,3,293.4052,46.4569,-1,-1,-1
24,4,355.252,816.3710000000001,-1,-1,-1
24,5,702.367,214.399,-1,-1,-1
25,1,458.069,682.321,-1,-1,-1
25,2,1643.45,211.66099999999997,-1,-1,-1
25,3,295.5089,43.0569,-1,-1,-1
25,4,347.063,820.078,-1,-1,-1
25,5,706.977,209.793,-1,-1,-1
26,1,462.133,683.857,-1,-1,-1
26,2,1644.21,218.99200000000002,-1,-1,-1
26,3,298.517,40.319,-1,-1,-1
26,4,339.89300000000003,823.2810000000001,-1,-1,-1
26,5,711.305,205.205,-1,-1,-1
27,1,467.38,686.2560000000001,-1,-1,-1
27,2,1644.73,225.79,-1,-1,-1
27,3,300.772,39.9024,-1,-1,-1
27,4,331.046,827.293,-1,-1,-1
27,5,715.344,201.14,-1,-1,-1
28,1,471.225,687.796,-1,-1,-1
28,2,1645.24,231.518,-1,-1,-1
28,3,302.71,39.6282,-1,-1,-1
28,4,324.17,830.415,-1,-1,-1
28,5,721.121,198.511,-1,-1,-1
29,1,474.86400000000003,689.096,-1,-1,-1
29,2,1645.68,236.737,-1,-1,-1
29,3,304.409,40.001,-1,-1,-1
29,4,322.044,831.456,-1,-1,-1
29,5,726.999,199.252,-1,-1,-1
30,1,478.529,690.591,-1,-1,-1
30,2,1646.5,243.47099999999998,-1,-1,-1
30,3,306.283,43.3584,-1,-1,-1
30,4,322.36,830.701,-1,-1,-1
30,5,735.3380000000001,204.02200000000002,-1,-1,-1
31,1,481.666,692.4760000000001,-1,-1,-1
31,2,1647.48,247.824,-1,-1,-1
31,3,310.021,44.108999999999995,-1,-1,-1
31,4,320.438,831.15,-1,-1,-1
31,5,739.965,208.49900000000002,-1,-1,-1
32,1,489.72900000000004,695.699,-1,-1,-1
32,2,1649.54,252.243,-1,-1,-1
32,3,310.008,44.4137,-1,-1,-1
32,4,317.096,832.207,-1,-1,-1
32,5,744.683,214.31099999999998,-1,-1,-1
33,1,499.58,696.54,-1,-1,-1
33,2,1652.23,255.55200000000002,-1,-1,-1
33,3,309.04200000000003,44.5831,-1,-1,-1
33,4,311.248,834.079,-1,-1,-1
33,5,748.831,220.077,-1,-1,-1
34,1,508.955,695.544,-1,-1,-1
34,2,1658.07,263.086,-1,-1,-1
34,3,306.919,42.8017,-1,-1,-1
34,4,306.3,836.0060000000001,-1,-1,-1
34,5,752.183,225.514,-1,-1,-1
35,1,517.165,694.554,-1,-1,-1
35,2,1663.62,279.661,-1,-1,-1
35,3,304.08,42.4763,-1,-1,-1
35,4,298.115,838.586,-1,-1,-1
35,5,755.645,231.243,-1,-1,-1
36,1,526.1669999999999,693.8580000000001,-1,-1,-1
36,2,1656.78,295.805,-1,-1,-1
36,3,301.616,43.5045,-1,-1,-1
36,4,289.7283,841.15,-1,-1,-1
36,5,758.476,236.547,-1,-1,-1
37,1,534.774,692.262,-1,-1,-1
37,2,1646.92,304.832,-1,-1,-1
37,3,300.231,45.2667,-1,-1,-1
37,4,283.5276,843.882,-1,-1,-1
37,5,760.781,240.99,-1,-1,-1
