X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
236.8	658.94	NaN	NaN	NaN	NaN	261.31	592.32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	287.36	243.66	NaN
236.52	658.67	NaN	142.25	496.27	NaN	261.51	593.34	NaN	257.77	511.33	NaN	216.91	480.83	NaN	271.11	248.69	NaN
235.5	658.14	NaN	149.04	535.65	NaN	260.73	593.53	NaN	258.24	511.19	NaN	214.06	477.87	NaN	255.27	258.58	NaN
233.96	656.39	NaN	166.03	584.79	NaN	259.83	592.87	NaN	258.1	511.18	NaN	209.17	476.63	NaN	242.42	268.4	NaN
234.06	654.4	NaN	170.2	600.69	NaN	258.38	592.51	NaN	258.65	511.99	NaN	210.25	477.26	NaN	252.02	260.42	NaN
238.05	653.29	NaN	168.53	607.89	NaN	258.81	593.21	NaN	258.76	509.3	NaN	204.61	477.22	NaN	242.49	265.34	NaN
237.24	650.7	NaN	167.81	610.09	NaN	258.68	592.77	NaN	259.47	501.68	NaN	206.82	477.28	NaN	233.35	271.7	NaN
238.1	650.26	NaN	169.39	612.1	NaN	258.23	592.91	NaN	259.8	494.82	NaN	202.89	477.32	NaN	220.59	281.17	NaN
237.73	649.89	NaN	173.85	614.04	NaN	258.28	593.11	NaN	259.76	488.86	NaN	198.32	476.11	NaN	218.96	283.68	NaN
237.85	648.63	NaN	173.91	610.39	NaN	258.81	593.45	NaN	257.89	481.61	NaN	190.87	473.2	NaN	217.46	285.18	NaN
238.16	648.55	NaN	177.52	614.49	NaN	259.11	593.67	NaN	257.94	475.72	NaN	183.23	469.44	NaN	209.9	297.13	NaN
238.51	649.18	NaN	177.53	614.78	NaN	258.32	592.22	NaN	261.04	469.26	NaN	175.86	462.31	NaN	206.7	308.84	NaN
239.06	648.55	NaN	177.73	615.35	NaN	260.02	592.75	NaN	263.16	470.47	NaN	174.28	458.76	NaN	201.28	316.39	NaN
240.35	646.55	NaN	180.95	617.05	NaN	260.27	592.61	NaN	267.68	466.93	NaN	168.28	451.8	NaN	182.88	332.56	NaN
240.44	647.42	NaN	179.3	618.81	NaN	259.08	590.96	NaN	271.23	466.41	NaN	168.18	449.32	NaN	170.36	357.67	NaN
240.05	645.73	NaN	179.17	619.04	NaN	261.68	591.85	NaN	276.04	465.03	NaN	168.64	447.08	NaN	166.94	369.78	NaN
239.53	645.54	NaN	179.35	625.3	NaN	260.79	591.44	NaN	281.75	465.12	NaN	169.13	447.09	NaN	165.55	370.62	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	283.11	463.67	NaN	170.2	448.74	NaN	167.16	364.77	NaN
260.86	590.06	NaN	178.48	626.1	NaN	236.6	645.99	NaN	281.8	458.52	NaN	168.92	443.61	NaN	165.59	363.59	NaN
260.06	589.58	NaN	178.2	635.74	NaN	235.56	646.52	NaN	282.15	454.74	NaN	169.91	442.77	NaN	157.14	367.6	NaN
260.87	589.52	NaN	173.55	656.53	NaN	236.37	646.93	NaN	281.3	445.09	NaN	170.91	439.82	NaN	152.82	373.73	NaN
259.2	589.22	NaN	175.02	660.76	NaN	240	646.06	NaN	280.2	437.19	NaN	172.9	437.39	NaN	155.36	366.9	NaN
260.42	589.54	NaN	180.72	680.26	NaN	241.93	647.36	NaN	276.14	430.1	NaN	173.54	436.98	NaN	151.04	370.02	NaN
260.83	589.91	NaN	191.94	699.85	NaN	243.87	645.68	NaN	261.08	412.67	NaN	174.14	437.12	NaN	150.68	368.18	NaN
262.09	590.04	NaN	208.86	728.55	NaN	244.92	648.43	NaN	247.81	402.12	NaN	174.81	435.5	NaN	148.2	367.39	NaN
262.2	591.17	NaN	229.09	752.82	NaN	246.86	646.36	NaN	234.76	401.71	NaN	174.5	432.95	NaN	149.6	370.79	NaN
261.56	591.69	NaN	253.97	776.02	NaN	247.76	645.96	NaN	234.63	400.19	NaN	173.88	433.74	NaN	147.74	372.26	NaN
261.52	591.29	NaN	288.3	799.61	NaN	247.15	645.78	NaN	233.02	396.89	NaN	173.94	430.82	NaN	147.54	369.15	NaN
261.22	591.37	NaN	334.59	821.85	NaN	251.95	644.47	NaN	232.03	394.19	NaN	174.07	431.56	NaN	146.88	368.24	NaN
262.03	592.46	NaN	375.36	839.54	NaN	250.62	645.35	NaN	231.66	392.69	NaN	174.12	431.96	NaN	171.76	365.93	NaN
261.24	591.35	NaN	402.15	849.85	NaN	252.03	646.22	NaN	231.82	392.8	NaN	173.47	429.42	NaN	172.3	360.47	NaN
262.53	590.27	NaN	414.31	859.94	NaN	256.05	646.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.51	587.13	NaN	424.01	865.45	NaN	256.42	651.26	NaN	NaN	NaN	NaN	173.33	429.04	NaN	NaN	NaN	NaN
264.5	587.18	NaN	428.84	868.36	NaN	257.21	652.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.94	585.99	NaN	429.69	865.39	NaN	260.65	655.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	170.91	361.56	NaN
263.59	585.04	NaN	434.94	868.11	NaN	265.17	658.66	NaN	225.32	385.08	NaN	173.07	425.82	NaN	172.79	361.78	NaN
262.04	583.05	NaN	443.16	869.43	NaN	270.44	661.77	NaN	225.55	384.06	NaN	172.86	426.96	NaN	170.37	360.47	NaN
262.82	584.03	NaN	471.83	868.23	NaN	278.63	664.15	NaN	225.77	382.49	NaN	172.52	426.93	NaN	172.33	359.68	NaN
262.54	584.31	NaN	510.37	870.61	NaN	286.98	665.28	NaN	225.46	378.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.97	587.22	NaN	548.72	863.39	NaN	298.07	671.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
264.87	589.2	NaN	585.4	848.9	NaN	311.62	674.65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
265.03	590.77	NaN	600.8	827.9	NaN	321.32	678.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
265.21	589.97	NaN	599.79	814.25	NaN	330.55	682.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
265.27	590.26	NaN	603.25	795.35	NaN	344.52	682.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.54	589.66	NaN	595.64	785.71	NaN	355.78	679.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.82	590.38	NaN	586.71	775.23	NaN	369.06	668.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
261.99	591.28	NaN	580.09	774.16	NaN	378.43	657.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
261.71	590.12	NaN	581.2	776.43	NaN	386.99	640.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262.06	593.09	NaN	580.14	778.9	NaN	394.8	632.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
261.75	592.74	NaN	580.31	780.51	NaN	395.41	632.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
261.17	589.31	NaN	580.15	778.85	NaN	390.58	644.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.47	596.27	NaN	582.21	777.28	NaN	397.2	655.57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.13	596.73	NaN	581.42	776.6	NaN	410.59	664.94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
264.1	597.06	NaN	581.78	776.02	NaN	416.28	670.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.46	595.96	NaN	585.2	779.46	NaN	424.44	675.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
263.69	595.36	NaN	586.52	778.82	NaN	427.7	677.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
265.97	596.19	NaN	588.24	779.66	NaN	431.02	679.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
268.25	597.81	NaN	584.16	772.52	NaN	434.58	680.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
268.98	599.57	NaN	582.45	766.35	NaN	432.25	680.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
271.21	602.89	NaN	581.24	767.78	NaN	434.9	680.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
272.47	604.95	NaN	580.82	764.55	NaN	434.13	679.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
274.4	605.26	NaN	579.6	765.35	NaN	434.52	679.69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
274.68	605.09	NaN	577.72	762.24	NaN	433.82	679.69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
275.14	608.51	NaN	576.65	756.42	NaN	433.39	679.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
277.02	610.15	NaN	575.9	758.27	NaN	433.4	679.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
278.83	613.16	NaN	577.39	760.42	NaN	433.98	679.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
281.6	618.01	NaN	574.74	758.01	NaN	434.1	679.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
283.04	625.33	NaN	574.75	757.36	NaN	435.73	679.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
290.11	634.88	NaN	575.24	761.1	NaN	434.75	679.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
292.86	640.34	NaN	572.05	759.61	NaN	434.63	679.92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
298.18	645.08	NaN	571.46	759.07	NaN	434.25	679.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
305.77	648.37	NaN	572.58	758.51	NaN	434.43	680.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
320.63	655.25	NaN	576.36	757.67	NaN	434.44	680.91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
331.47	664.05	NaN	575.59	760.62	NaN	435	681.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
346.04	670.61	NaN	573.37	761.94	NaN	435.25	682.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
359.75	673.56	NaN	571.12	761.62	NaN	436.34	683.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.86	673.58	NaN	568.57	757.91	NaN	436.78	683.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.61	673.29	NaN	568.18	755.13	NaN	436.66	681.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.53	673.32	NaN	566.1	751.23	NaN	436.66	683.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.93	673.86	NaN	560.76	748.02	NaN	437.34	684.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.95	673.24	NaN	558.64	740.92	NaN	438.57	684.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.71	673.12	NaN	556.79	732.22	NaN	438.36	683.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
364.54	673.08	NaN	552.32	711.09	NaN	439.9	684.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
366.37	672.84	NaN	554.24	681.86	NaN	438.56	683.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
