frame,id,x,y,width,height,confidence
1,1,232.96955411510507,654.7829503044587,-1,-1,-1
1,2,-1.0,-1.0,-1,-1,-1
1,3,-1.0,-1.0,-1,-1,-1
1,4,286.3992113198793,242.4834145209928,-1,-1,-1
1,5,261.7411285631181,591.9538491370952,-1,-1,-1
1,6,-1.0,-1.0,-1,-1,-1
2,1,232.6314065510597,654.4782273603082,-1,-1,-1
2,2,141.84606223016226,501.6272145302962,-1,-1,-1
2,3,-1.0,-1.0,-1,-1,-1
2,4,268.4156512320606,247.66314649336582,-1,-1,-1
2,5,262.0619266055046,592.7230504587156,-1,-1,-1
2,6,-1.0,-1.0,-1,-1,-1
3,1,232.6658878504673,654.9044003115264,-1,-1,-1
3,2,149.6178588574172,538.7774043847015,-1,-1,-1
3,3,-1.0,-1.0,-1,-1,-1
3,4,251.98238897396632,257.6929555895865,-1,-1,-1
3,5,261.98393351800553,594.057433056325,-1,-1,-1
3,6,-1.0,-1.0,-1,-1,-1
4,1,231.22788579435976,653.4550709406201,-1,-1,-1
4,2,166.5474418604651,589.3750387596899,-1,-1,-1
4,3,-1.0,-1.0,-1,-1,-1
4,4,241.56040179751517,267.09251916468406,-1,-1,-1
4,5,261.85400516795863,593.9117755629383,-1,-1,-1
4,6,-1.0,-1.0,-1,-1,-1
5,1,231.05237185609676,650.1797198344476,-1,-1,-1
5,2,169.99968583097706,606.6630537229029,-1,-1,-1
5,3,201.85011494252873,476.1642911877394,-1,-1,-1
5,4,251.2847399829497,259.36714975845405,-1,-1,-1
5,5,260.7873370577281,594.2188081936685,-1,-1,-1
5,6,256.8085709521427,510.09621477405364,-1,-1,-1
6,1,234.8829987991079,649.4805283925201,-1,-1,-1
6,2,167.4749962680997,612.167487684729,-1,-1,-1
6,3,200.98456650022698,475.5031018308367,-1,-1,-1
6,4,240.3409836065574,264.1554644808743,-1,-1,-1
6,5,260.5268507863444,593.6729957805907,-1,-1,-1
6,6,257.5398740818468,509.4562784190276,-1,-1,-1
7,1,235.6143790849673,647.9587732528909,-1,-1,-1
7,2,167.00807537012113,613.5717062957978,-1,-1,-1
7,3,198.56720430107526,475.0673624288425,-1,-1,-1
7,4,228.80304202113945,271.8489301366331,-1,-1,-1
7,5,260.03468648751664,594.1625690870974,-1,-1,-1
7,6,257.79883805374,502.3656499636891,-1,-1,-1
8,1,235.4587231248974,646.6725750861644,-1,-1,-1
8,2,169.89549150036953,616.4977087952698,-1,-1,-1
8,3,195.40139949109414,474.26781170483457,-1,-1,-1
8,4,216.76278447121817,281.465327978581,-1,-1,-1
8,5,259.95763527825915,593.7531292124013,-1,-1,-1
8,6,258.3693931398417,495.6809146877748,-1,-1,-1
9,1,234.83680723864921,645.8254968492487,-1,-1,-1
9,2,174.4767753776648,615.976845969222,-1,-1,-1
9,3,191.31632161771788,472.915262397689,-1,-1,-1
9,4,214.258785942492,285.06842385516507,-1,-1,-1
9,5,260.0951566951567,594.1095916429249,-1,-1,-1
9,6,258.19525959367945,489.7430398796087,-1,-1,-1
10,1,235.71752542938134,645.5310988827747,-1,-1,-1
10,2,175.27669039145908,614.6582147093712,-1,-1,-1
10,3,184.97915616069926,469.2576903681291,-1,-1,-1
10,4,213.30196378474875,286.2121907676613,-1,-1,-1
10,5,260.15045622209277,593.9211803533294,-1,-1,-1
10,6,256.96377672209024,482.7561361836896,-1,-1,-1
11,1,236.6882809861533,645.290611279973,-1,-1,-1
11,2,178.10799136069116,615.5529157667387,-1,-1,-1
11,3,178.99142607174102,465.5438320209974,-1,-1,-1
11,4,205.83795582948122,298.66127375449406,-1,-1,-1
11,5,260.6846794499322,594.2808444702691,-1,-1,-1
11,6,257.2127619047619,476.00304761904755,-1,-1,-1
12,1,236.8088692521682,645.4192439862543,-1,-1,-1
12,2,178.45368806306305,616.0948761261261,-1,-1,-1
12,3,171.17784711388455,458.8356734269371,-1,-1,-1
12,4,203.29341170707812,309.73426402155275,-1,-1,-1
12,5,260.9791912053396,593.813898704358,-1,-1,-1
12,6,259.2828588734101,470.67433878457496,-1,-1,-1
13,1,-1.0,-1.0,-1,-1,-1
13,2,-1.0,-1.0,-1,-1,-1
13,3,168.27169811320755,453.6300089847259,-1,-1,-1
13,4,196.99852724594993,318.6435935198822,-1,-1,-1
13,5,261.9693205345379,593.7184265010352,-1,-1,-1
13,6,261.56645702306076,470.78846960167715,-1,-1,-1
14,1,-1.0,-1.0,-1,-1,-1
14,2,-1.0,-1.0,-1,-1,-1
14,3,164.59979263867288,447.8189044409884,-1,-1,-1
14,4,181.27850038255548,332.14715633766895,-1,-1,-1
14,5,262.3282186948854,593.4100529100529,-1,-1,-1
14,6,264.9464052287582,468.52309368191715,-1,-1,-1
15,1,-1.0,-1.0,-1,-1,-1
15,2,-1.0,-1.0,-1,-1,-1
15,3,165.0465076949095,444.8342634872315,-1,-1,-1
15,4,167.91471163245356,358.3042521994135,-1,-1,-1
15,5,261.9314690143276,592.3675125151044,-1,-1,-1
15,6,269.4569240587109,466.3522654754308,-1,-1,-1
16,1,-1.0,-1.0,-1,-1,-1
16,2,-1.0,-1.0,-1,-1,-1
16,3,166.35046248715312,442.53854059609455,-1,-1,-1
16,4,166.6004366812227,368.46263949539053,-1,-1,-1
16,5,262.0114623775189,591.8983176187834,-1,-1,-1
16,6,274.2991502510622,463.3794901506373,-1,-1,-1
17,1,-1.0,-1.0,-1,-1,-1
17,2,-1.0,-1.0,-1,-1,-1
17,3,166.75020637279178,442.3273897969292,-1,-1,-1
17,4,166.18444760550022,368.2740635372214,-1,-1,-1
17,5,263.15413533834584,592.1215538847117,-1,-1,-1
17,6,279.3113388853299,465.0439888960068,-1,-1,-1
18,1,-1.0,-1.0,-1,-1,-1
18,2,-1.0,-1.0,-1,-1,-1
18,3,167.26305015353122,442.6129307403616,-1,-1,-1
18,4,164.8985915492958,364.7739436619718,-1,-1,-1
18,5,261.63478568898336,591.0928090683669,-1,-1,-1
18,6,281.32550264550264,463.7961904761905,-1,-1,-1
19,1,-1.0,-1.0,-1,-1,-1
19,2,-1.0,-1.0,-1,-1,-1
19,3,167.1161365142478,440.2312789927104,-1,-1,-1
19,4,163.45038167938932,363.6027989821883,-1,-1,-1
19,5,261.95943867743176,590.614955786236,-1,-1,-1
19,6,280.62878293054644,458.2523405181798,-1,-1,-1
20,1,-1.0,-1.0,-1,-1,-1
20,2,-1.0,-1.0,-1,-1,-1
20,3,167.44343587157505,438.05530341233816,-1,-1,-1
