frame,id,x,y,width,height,confidence
1,1,753.4335742078932,429.90216787103947,-1,-1,-1
1,2,446.9616465127641,120.42616342982778,-1,-1,-1
1,3,-1.0,-1.0,-1,-1,-1
1,4,550.5418611889199,637.2374727668845,-1,-1,-1
1,5,491.19616519174036,553.651622418879,-1,-1,-1
1,6,700.2720690615428,319.4394319131161,-1,-1,-1
1,7,-1.0,-1.0,-1,-1,-1
1,8,-1.0,-1.0,-1,-1,-1
1,9,856.2876286192868,527.0536013400334,-1,-1,-1
1,10,629.5845771144278,164.736815920398,-1,-1,-1
2,1,761.5718654434249,424.1874437848534,-1,-1,-1
2,2,-1.0,-1.0,-1,-1,-1
2,3,-1.0,-1.0,-1,-1,-1
2,4,550.9940865234983,636.9452225334578,-1,-1,-1
2,5,483.99373219373217,549.4809116809116,-1,-1,-1
2,6,697.9791666666666,325.89899789029533,-1,-1,-1
2,7,-1.0,-1.0,-1,-1,-1
2,8,-1.0,-1.0,-1,-1,-1
2,9,859.7213075638272,530.1507993319017,-1,-1,-1
2,10,629.6421495789995,164.32070331847447,-1,-1,-1
3,1,772.1520821867547,418.03100348559894,-1,-1,-1
3,2,-1.0,-1.0,-1,-1,-1
3,3,-1.0,-1.0,-1,-1,-1
3,4,551.0897072710104,636.9767075857727,-1,-1,-1
3,5,478.04009575104726,547.3207660083782,-1,-1,-1
3,6,693.6825127334465,329.8471986417657,-1,-1,-1
3,7,-1.0,-1.0,-1,-1,-1
3,8,-1.0,-1.0,-1,-1,-1
3,9,859.1852913085004,530.8400191021967,-1,-1,-1
3,10,630.3876190476191,163.69785714285715,-1,-1,-1
4,1,778.97838328792,413.93097184377837,-1,-1,-1
4,2,-1.0,-1.0,-1,-1,-1
4,3,-1.0,-1.0,-1,-1,-1
4,4,551.1585170981143,636.9667625439437,-1,-1,-1
4,5,469.12449799196787,543.4084028421378,-1,-1,-1
4,6,689.2513982102907,331.7086129753915,-1,-1,-1
4,7,-1.0,-1.0,-1,-1,-1
4,8,-1.0,-1.0,-1,-1,-1
4,9,859.411000944287,530.8467894239849,-1,-1,-1
4,10,630.865661411926,163.46355951564996,-1,-1,-1
5,1,781.4274163910327,412.3171628077912,-1,-1,-1
5,2,-1.0,-1.0,-1,-1,-1
5,3,-1.0,-1.0,-1,-1,-1
5,4,551.6060031595576,636.9238546603475,-1,-1,-1
5,5,461.0480427046263,540.7144128113879,-1,-1,-1
5,6,686.4976369196553,333.1473450097303,-1,-1,-1
5,7,-1.0,-1.0,-1,-1,-1
