frame,id,x,y,width,height,confidence
1,1,154.59302325581396,397.4399224806201,-1,-1,-1
1,2,-1.0,-1.0,-1,-1,-1
1,3,276.5727622185612,293.11037891268535,-1,-1,-1
1,4,434.09644012944983,277.7773462783171,-1,-1,-1
1,5,-1.0,-1.0,-1,-1,-1
2,1,154.4717348927875,397.1003898635477,-1,-1,-1
2,2,-1.0,-1.0,-1,-1,-1
2,3,277.1502732240437,293.1404371584699,-1,-1,-1
2,4,434.05872862213613,278.82865440464667,-1,-1,-1
2,5,-1.0,-1.0,-1,-1,-1
3,1,154.40316988608222,396.7726597325409,-1,-1,-1
3,2,-1.0,-1.0,-1,-1,-1
3,3,277.4724061810154,293.25717439293595,-1,-1,-1
3,4,433.88768115942025,279.7101449275362,-1,-1,-1
3,5,-1.0,-1.0,-1,-1,-1
4,1,154.3343224530168,396.6290801186944,-1,-1,-1
4,2,-1.0,-1.0,-1,-1,-1
4,3,277.78183831672203,293.37873754152827,-1,-1,-1
4,4,434.0146484375,280.34733072916663,-1,-1,-1
4,5,-1.0,-1.0,-1,-1,-1
5,1,154.28542914171655,396.3423153692614,-1,-1,-1
5,2,-1.0,-1.0,-1,-1,-1
5,3,278.1068660022148,293.46788482834995,-1,-1,-1
5,4,434.26479146459747,281.10378273520854,-1,-1,-1
5,5,-1.0,-1.0,-1,-1,-1
6,1,153.9206579583938,396.1286889211417,-1,-1,-1
6,2,-1.0,-1.0,-1,-1,-1
6,3,278.3468614718615,293.71049783549785,-1,-1,-1
6,4,434.2200772200772,281.56145431145427,-1,-1,-1
6,5,-1.0,-1.0,-1,-1,-1
7,1,153.56277695716395,396.0654849827671,-1,-1,-1
7,2,-1.0,-1.0,-1,-1,-1
7,3,278.89912280701753,293.6946271929824,-1,-1,-1
7,4,434.14018087855294,282.265503875969,-1,-1,-1
7,5,-1.0,-1.0,-1,-1,-1
8,1,153.17102713178292,395.9355620155038,-1,-1,-1
8,2,-1.0,-1.0,-1,-1,-1
8,3,278.6009661835749,294.09565217391304,-1,-1,-1
8,4,434.2248803827751,283.42711323763956,-1,-1,-1
8,5,-1.0,-1.0,-1,-1,-1
9,1,153.0948191593353,395.5879765395894,-1,-1,-1
9,2,-1.0,-1.0,-1,-1,-1
9,3,279.8239583333333,294.0359375,-1,-1,-1
9,4,433.9677734375,284.64420572916663,-1,-1,-1
9,5,-1.0,-1.0,-1,-1,-1
10,1,153.01291604570292,395.3422752111276,-1,-1,-1
10,2,-1.0,-1.0,-1,-1,-1
10,3,280.1130119232763,294.12078797304304,-1,-1,-1
10,4,433.82714874722484,285.3552172534094,-1,-1,-1
10,5,-1.0,-1.0,-1,-1,-1
11,1,152.8716814159292,395.2846607669617,-1,-1,-1
11,2,-1.0,-1.0,-1,-1,-1
11,3,280.19083969465646,294.15521628498726,-1,-1,-1
11,4,433.74710424710423,286.1267696267696,-1,-1,-1
11,5,-1.0,-1.0,-1,-1,-1
12,1,152.57450980392156,395.22156862745095,-1,-1,-1
12,2,-1.0,-1.0,-1,-1,-1
12,3,280.6343244653103,294.358372456964,-1,-1,-1
12,4,433.52927927927925,286.96589446589445,-1,-1,-1
12,5,-1.0,-1.0,-1,-1,-1
13,1,152.10743405275778,395.1812949640288,-1,-1,-1
13,2,-1.0,-1.0,-1,-1,-1
13,3,281.62968832540935,294.67881669307974,-1,-1,-1
13,4,433.49038461538464,287.9855769230769,-1,-1,-1
13,5,-1.0,-1.0,-1,-1,-1
14,1,152.18255097202464,395.0545282124229,-1,-1,-1
14,2,-1.0,-1.0,-1,-1,-1
14,3,282.01408450704224,294.71570161711,-1,-1,-1
14,4,433.4674952198853,289.0908221797323,-1,-1,-1
14,5,-1.0,-1.0,-1,-1,-1
15,1,151.53621169916434,395.1541318477251,-1,-1,-1
15,2,-1.0,-1.0,-1,-1,-1
15,3,282.5481832543444,295.00842548709846,-1,-1,-1
15,4,433.46499678869617,290.1779062299293,-1,-1,-1
15,5,-1.0,-1.0,-1,-1,-1
16,1,151.0571692023974,395.17058552328257,-1,-1,-1
16,2,-1.0,-1.0,-1,-1,-1
16,3,282.7511591962906,295.2493560020608,-1,-1,-1
16,4,433.49665711556827,291.10888252149,-1,-1,-1
16,5,-1.0,-1.0,-1,-1,-1
17,1,150.3784425451092,395.2606837606838,-1,-1,-1
17,2,-1.0,-1.0,-1,-1,-1
17,3,283.12442396313367,295.43522785458265,-1,-1,-1
17,4,433.5513928914505,291.97246237592054,-1,-1,-1
17,5,-1.0,-1.0,-1,-1,-1
18,1,149.64289252105002,395.3808816245666,-1,-1,-1
18,2,-1.0,-1.0,-1,-1,-1
18,3,283.5235897435897,295.57948717948716,-1,-1,-1
18,4,433.58102515122573,292.9216809933142,-1,-1,-1
18,5,-1.0,-1.0,-1,-1,-1
19,1,149.12165450121654,395.443309002433,-1,-1,-1
19,2,-1.0,-1.0,-1,-1,-1
19,3,283.78159203980096,295.68009950248756,-1,-1,-1
19,4,433.54883125200126,293.466218379763,-1,-1,-1
19,5,-1.0,-1.0,-1,-1,-1
20,1,148.53931500241194,395.3589001447178,-1,-1,-1
20,2,-1.0,-1.0,-1,-1,-1
20,3,284.06118453255016,295.6162506118453,-1,-1,-1
20,4,433.17356432467113,294.14629451395575,-1,-1,-1
20,5,-1.0,-1.0,-1,-1,-1
21,1,148.2464197530864,395.23555555555555,-1,-1,-1
21,2,-1.0,-1.0,-1,-1,-1
21,3,284.36115178135674,295.7545143972669,-1,-1,-1
21,4,432.91650853889945,294.50948766603415,-1,-1,-1
21,5,-1.0,-1.0,-1,-1,-1
22,1,147.92674532940018,395.26941986234016,-1,-1,-1
22,2,-1.0,-1.0,-1,-1,-1
22,3,284.73160173160176,296.013949013949,-1,-1,-1
22,4,432.84454976303317,295.2672985781991,-1,-1,-1
22,5,-1.0,-1.0,-1,-1,-1
23,1,147.707825203252,395.0716463414634,-1,-1,-1
23,2,-1.0,-1.0,-1,-1,-1
23,3,284.7883211678832,295.9810218978102,-1,-1,-1
23,4,432.79036827195466,296.1473087818697,-1,-1,-1
23,5,-1.0,-1.0,-1,-1,-1
24,1,147.08358208955224,395.12636815920393,-1,-1,-1
24,2,-1.0,-1.0,-1,-1,-1
24,3,285.012987012987,295.9153439153439,-1,-1,-1
24,4,432.663798597833,296.8977055449331,-1,-1,-1
24,5,-1.0,-1.0,-1,-1,-1
25,1,146.73519334312283,394.9422418012726,-1,-1,-1
25,2,-1.0,-1.0,-1,-1,-1
25,3,285.43095238095236,295.95142857142855,-1,-1,-1
25,4,432.7132376395534,297.8248803827751,-1,-1,-1
25,5,-1.0,-1.0,-1,-1,-1
26,1,146.28454106280194,394.6743961352657,-1,-1,-1
26,2,-1.0,-1.0,-1,-1,-1
26,3,285.5023946360153,295.96216475095787,-1,-1,-1
26,4,432.56803044719317,298.0723120837298,-1,-1,-1
26,5,-1.0,-1.0,-1,-1,-1
27,1,145.87395371738057,394.52535696701125,-1,-1,-1
27,2,-1.0,-1.0,-1,-1,-1
27,3,285.6705258080077,296.04727448142785,-1,-1,-1
27,4,432.5308056872038,298.4050552922591,-1,-1,-1
27,5,-1.0,-1.0,-1,-1,-1
28,1,145.4072463768116,394.35458937198064,-1,-1,-1
28,2,-1.0,-1.0,-1,-1,-1
28,3,286.06437768240346,295.93037672865995,-1,-1,-1
28,4,432.4136735979836,298.7495274102079,-1,-1,-1
28,5,-1.0,-1.0,-1,-1,-1
29,1,144.81508875739644,394.29980276134114,-1,-1,-1
29,2,-1.0,-1.0,-1,-1,-1
29,3,286.31277533039645,295.86882036221243,-1,-1,-1
29,4,432.2314724126673,299.41560561540973,-1,-1,-1
29,5,-1.0,-1.0,-1,-1,-1
30,1,144.4273127753304,394.2941752325012,-1,-1,-1
30,2,-1.0,-1.0,-1,-1,-1
30,3,286.64777131782944,295.89631782945736,-1,-1,-1
30,4,432.047711781889,300.10710808179164,-1,-1,-1
30,5,-1.0,-1.0,-1,-1,-1
31,1,144.31355523396044,394.3212735166425,-1,-1,-1
31,2,-1.0,-1.0,-1,-1,-1
