X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	X9	Y9	ProbId9	X10	Y10	ProbId10	
551.55	637.25	NaN	410.13	167.67	NaN	NaN	NaN	NaN	631.55	163.51	NaN	855.63	527.67	NaN	491.58	554.24	NaN	446.3	120.51	NaN	749.44	431.82	NaN	700.58	321.74	NaN	NaN	NaN	NaN
552.02	637.76	NaN	413.6	166.95	NaN	652.54	609.05	NaN	631.38	162.33	NaN	858.71	530.32	NaN	485.1	550.28	NaN	446.3	120.54	NaN	757.91	426.25	NaN	699.26	326.58	NaN	606.08	609.41	NaN
552.44	636.82	NaN	415.38	167.7	NaN	652.45	605.81	NaN	631.52	163.15	NaN	858.58	531.29	NaN	478.86	547.98	NaN	446.67	120.19	NaN	767.91	421.25	NaN	694.63	331.11	NaN	606.91	608.42	NaN
552.38	637.23	NaN	421.27	167.71	NaN	653.71	600.83	NaN	631.5	162.34	NaN	858.7	530.94	NaN	469.86	544.32	NaN	445.87	120.11	NaN	774.26	417.95	NaN	689.48	333.44	NaN	607.32	608.06	NaN
552.9	637.05	NaN	424.63	165.76	NaN	656.97	591.56	NaN	631.78	163.21	NaN	857.18	530.3	NaN	463.27	541.97	NaN	445.99	120.04	NaN	777.77	416.01	NaN	687.37	334.32	NaN	607.93	606.23	NaN
553.46	636.81	NaN	425.94	163.66	NaN	658.52	583.75	NaN	632.03	163.38	NaN	857.94	532.45	NaN	457.3	539.04	NaN	446.14	119.83	NaN	783.14	412.36	NaN	685.8	335.5	NaN	607.47	606	NaN
554.61	635.84	NaN	431.49	161.76	NaN	659.98	573.37	NaN	631.79	163.21	NaN	860.08	534.84	NaN	449.25	533.37	NaN	446.33	120.17	NaN	789.19	405.08	NaN	684.39	336.81	NaN	608.07	605.19	NaN
555.22	636.63	NaN	437.64	159.57	NaN	660.75	564.71	NaN	631.67	163.95	NaN	862	536.83	NaN	441.84	528.24	NaN	446.66	120.04	NaN	794.61	395.79	NaN	676.27	340.52	NaN	606.75	605.55	NaN
556.29	638.32	NaN	441.22	158.95	NaN	660.65	554.28	NaN	631.51	163.9	NaN	863.96	538.43	NaN	439.25	526.97	NaN	447.16	119.63	NaN	800.2	391.08	NaN	669.21	342.7	NaN	606.71	605.42	NaN
556.34	640.5	NaN	444.11	156.27	NaN	660.52	543.61	NaN	631.48	163.21	NaN	864.32	540.07	NaN	433.53	522.71	NaN	446.99	119.79	NaN	801.81	382.74	NaN	663.2	344.73	NaN	607.96	604.49	NaN
557.37	640.35	NaN	449.9	151.37	NaN	658.78	534.52	NaN	631.4	162.77	NaN	865.07	542.12	NaN	432.03	519.27	NaN	447.17	119.69	NaN	803.72	369.16	NaN	656.01	345.07	NaN	608.32	604.76	NaN
557.77	640.48	NaN	454.56	150.95	NaN	656.51	524.99	NaN	631.38	162.79	NaN	865.48	542.9	NaN	429.95	514.45	NaN	446.62	119.64	NaN	805.37	357.15	NaN	648.94	343.9	NaN	610.52	603.72	NaN
557.73	640.89	NaN	456.07	150.52	NaN	655.37	516.32	NaN	631.63	163.57	NaN	863.76	542.22	NaN	428.44	507.8	NaN	446.55	119.6	NaN	807.04	347.67	NaN	642.08	343.02	NaN	610.56	603.99	NaN
557.76	640.98	NaN	NaN	NaN	NaN	652.77	509.79	NaN	631.32	162.34	NaN	863.78	542.45	NaN	426.29	501.68	NaN	NaN	NaN	NaN	806.53	338.06	NaN	635.72	341.9	NaN	611.21	603	NaN
557.62	641.27	NaN	NaN	NaN	NaN	649.93	502.5	NaN	631.37	162.65	NaN	863.17	541.04	NaN	422.92	496	NaN	NaN	NaN	NaN	804.55	326.24	NaN	626.32	339.24	NaN	612.17	602.06	NaN
558.08	641.35	NaN	NaN	NaN	NaN	645.26	489.57	NaN	631.54	162.14	NaN	862.81	540.21	NaN	422.24	496.72	NaN	NaN	NaN	NaN	799.95	312.59	NaN	614.84	336.43	NaN	611.8	602.21	NaN
558.03	641.76	NaN	464.81	146.07	NaN	642.98	480.34	NaN	631.47	161.78	NaN	862.45	539.51	NaN	419.88	485.86	NaN	446.16	119.38	NaN	798.43	306.32	NaN	609.02	333.78	NaN	611.99	601.56	NaN
559.89	639.71	NaN	466.73	147.2	NaN	640.72	468.41	NaN	631.5	162.13	NaN	859.33	534.86	NaN	416.04	477.64	NaN	446.65	119.32	NaN	796.76	303.95	NaN	600.11	329.07	NaN	612.32	601.22	NaN
559.99	640.21	NaN	470.2	145.43	NaN	636.04	456.94	NaN	631.74	162.07	NaN	856.6	528.09	NaN	412.91	473.17	NaN	446.75	119.26	NaN	796.76	300.22	NaN	594.91	327.2	NaN	612.23	600.57	NaN
559.68	640.86	NaN	474.88	143.93	NaN	632.86	445	NaN	631.86	162.28	NaN	853.52	521.74	NaN	407.63	462.09	NaN	447.4	119.3	NaN	795.8	295.51	NaN	589.08	325.84	NaN	612.21	599.82	NaN
560.48	640.35	NaN	475.47	142.4	NaN	631.6	432.75	NaN	632.28	163.29	NaN	853.05	517.4	NaN	404.26	453.95	NaN	448.25	119.38	NaN	792.75	292.79	NaN	578.68	322.74	NaN	612.07	599.4	NaN
560.36	640.36	NaN	478.27	140.23	NaN	629.44	423.49	NaN	632.45	163.4	NaN	857.03	513.68	NaN	400.68	450.42	NaN	448.32	119.34	NaN	791.39	289.35	NaN	573.07	322.74	NaN	613.33	597.4	NaN
560.24	640.41	NaN	481.03	136.98	NaN	623.7	413.26	NaN	633.04	163.83	NaN	858.32	510.01	NaN	396.33	444.04	NaN	448.53	119.09	NaN	789.59	286.2	NaN	566.48	319.27	NaN	612.97	597.43	NaN
559.15	641.23	NaN	482.73	135.24	NaN	616.94	403.8	NaN	632.74	163.15	NaN	854.48	508.13	NaN	394.1	440.46	NaN	448.49	118.8	NaN	785.34	277.18	NaN	556.57	315.19	NaN	612.36	597.9	NaN
559.58	641.3	NaN	483.11	133.92	NaN	612.81	395.12	NaN	632.27	163.41	NaN	851.68	503.68	NaN	391.63	436.62	NaN	448.97	119.04	NaN	784	272.2	NaN	549.96	312.35	NaN	613.61	596.56	NaN
559.42	641.83	NaN	484.27	133.61	NaN	607.33	384.79	NaN	632.36	164.1	NaN	851.84	499.75	NaN	389.15	433.5	NaN	448.57	118.99	NaN	783.85	270.14	NaN	539.74	309.94	NaN	612.84	597.65	NaN
559.76	641.5	NaN	484.66	128.43	NaN	600.23	379.11	NaN	632.02	163.43	NaN	852.46	493.67	NaN	386.91	432.47	NaN	448.77	118.71	NaN	784.35	270.13	NaN	535.2	309.98	NaN	613.54	596.79	NaN
559.06	642.21	NaN	485.1	125.97	NaN	596.44	376.3	NaN	631.75	162.57	NaN	855.07	487.6	NaN	385.54	431.84	NaN	449.15	118.58	NaN	784.87	269.35	NaN	531	306.88	NaN	615.3	594.56	NaN
559.91	641.57	NaN	485.1	124.39	NaN	592.44	371.75	NaN	631.91	163.37	NaN	858.25	484.03	NaN	382.84	428.2	NaN	449.26	118.5	NaN	784.98	269.81	NaN	528.92	305.96	NaN	615.14	594.82	NaN
559.9	641.7	NaN	485.46	122.38	NaN	584.32	364.59	NaN	631.5	162.94	NaN	861.88	478.52	NaN	380.85	426.32	NaN	449	118.57	NaN	785.47	271.91	NaN	528.02	306.27	NaN	615.44	594.15	NaN
