X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
156.12	396.6	NaN	278.46	294.33	NaN	435.1	278.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN
156.2	396.24	NaN	279.11	294.47	NaN	435.17	279.82	NaN	181.87	430.49	NaN	181.77	405.58	NaN
156.15	395.93	NaN	279.5	294.42	NaN	435.07	280.64	NaN	181.74	430.47	NaN	182.04	405.52	NaN
155.99	395.84	NaN	279.61	294.56	NaN	435.18	281.34	NaN	181.7	430.29	NaN	182.04	405.52	NaN
155.86	395.82	NaN	280	294.69	NaN	435.35	282.18	NaN	181.37	430.17	NaN	182.09	405.92	NaN
155.49	395.62	NaN	280.32	294.96	NaN	435.27	282.45	NaN	181.17	430.22	NaN	182.11	405.72	NaN
154.84	395.7	NaN	280.73	294.81	NaN	435.26	283.22	NaN	180.59	430.07	NaN	182.12	405.67	NaN
154.93	395.26	NaN	281.48	295.21	NaN	435.33	284.49	NaN	180.35	430.02	NaN	182.07	405.8	NaN
154.58	395.15	NaN	281.81	295.3	NaN	435.13	285.67	NaN	180.04	429.82	NaN	182.14	405.79	NaN
154.05	395.05	NaN	281.8	295.28	NaN	435.03	286.48	NaN	179.05	429.53	NaN	181.82	405.78	NaN
153.9	394.97	NaN	282.1	295.36	NaN	434.96	287.22	NaN	178.75	429.55	NaN	181.75	405.89	NaN
153.48	395.09	NaN	282.46	295.39	NaN	434.77	287.92	NaN	178.39	429.5	NaN	181.75	405.9	NaN
153.67	394.86	NaN	283.18	295.65	NaN	434.54	289	NaN	177.85	429.2	NaN	181.87	405.64	NaN
153.38	394.83	NaN	283.85	295.92	NaN	434.45	289.87	NaN	176.93	428.74	NaN	181.93	405.54	NaN
152.39	394.99	NaN	284.22	296.07	NaN	434.5	291.36	NaN	177.22	428.63	NaN	182.3	405.46	NaN
151.86	395	NaN	284.79	296.31	NaN	434.51	292.05	NaN	177.28	428.56	NaN	182.39	405.42	NaN
151.23	395.3	NaN	285.28	296.52	NaN	434.58	293.03	NaN	177.09	428.15	NaN	183.08	404.94	NaN
150.89	395.07	NaN	285.37	296.51	NaN	434.61	293.81	NaN	176.54	428.25	NaN	183.12	404.87	NaN
150.6	395.07	NaN	285.8	296.56	NaN	434.37	294.22	NaN	176.77	428.5	NaN	183.02	404.8	NaN
149.7	395.12	NaN	286.18	296.7	NaN	434.27	294.88	NaN	176.74	428.52	NaN	183.46	404.51	NaN
149.58	394.92	NaN	286.56	296.76	NaN	434.16	295.31	NaN	176.87	428.66	NaN	183.42	404.52	NaN
148.79	395.15	NaN	286.8	296.86	NaN	434.11	295.97	NaN	177.01	428.7	NaN	183.78	404.46	NaN
148.63	395.05	NaN	287.13	297.03	NaN	433.9	296.81	NaN	176.99	428.54	NaN	183.09	404.51	NaN
147.98	395	NaN	287.39	296.61	NaN	433.86	297.74	NaN	176.62	428.38	NaN	183.07	404.62	NaN
147.14	394.76	NaN	287.85	296.8	NaN	433.82	298.62	NaN	176.57	428.39	NaN	183.16	404.49	NaN
146.77	394.49	NaN	287.55	296.72	NaN	433.67	299.28	NaN	176.57	428.39	NaN	182.94	404.54	NaN
146.41	394.5	NaN	287.87	296.9	NaN	433.57	299.65	NaN	176.83	428.41	NaN	183.19	404.5	NaN
145.81	394.27	NaN	287.67	296.61	NaN	433.38	299.89	NaN	177.01	428.54	NaN	182.98	404.62	NaN
145.17	394.35	NaN	288.14	296.77	NaN	433.33	300.28	NaN	176.67	428.48	NaN	183	404.59	NaN
144.68	394.32	NaN	288.34	296.69	NaN	433.23	300.83	NaN	176.67	428.51	NaN	182.93	404.65	NaN
144.66	394.41	NaN	288.4	296.48	NaN	432.97	301.86	NaN	177.21	428.67	NaN	183.01	404.56	NaN
144.73	394.41	NaN	288.73	296.35	NaN	433.03	302.52	NaN	176.97	428.57	NaN	182.89	404.7	NaN
145.07	394.26	NaN	288.94	296.38	NaN	433.06	302.98	NaN	176.89	428.67	NaN	183.43	404.82	NaN
145.22	394.3	NaN	289.03	296.3	NaN	433.1	303.37	NaN	176.82	428.63	NaN	183.11	404.73	NaN
145.08	394.3	NaN	289.8	296.38	NaN	433.13	304.09	NaN	176.67	428.51	NaN	182.91	404.63	NaN
144.74	394.31	NaN	289.88	296.28	NaN	433.15	304.22	NaN	176.47	428.49	NaN	182.91	404.63	NaN
144.33	394.34	NaN	289.45	296.46	NaN	433.14	304.39	NaN	176.24	428.42	NaN	183.3	404.74	NaN
144.55	394.35	NaN	289.48	296.26	NaN	433.09	303.95	NaN	175.99	428.22	NaN	182.95	404.54	NaN
144.44	394.36	NaN	289.85	296.27	NaN	432.77	304.33	NaN	175.88	428.23	NaN	183.14	404.57	NaN
144.02	394.3	NaN	290.19	296.34	NaN	432.64	304.79	NaN	175.59	428.2	NaN	183.18	404.57	NaN
143.76	394.27	NaN	291.99	295.78	NaN	432.46	305.35	NaN	175.49	428.06	NaN	183.05	404.59	NaN
143.26	394.19	NaN	292.13	295.71	NaN	432.41	305.67	NaN	174.98	427.9	NaN	183.14	404.53	NaN
143.56	394.13	NaN	291.13	296.2	NaN	432.32	305.91	NaN	174.7	427.93	NaN	183.44	404.6	NaN
142.32	394.59	NaN	291.49	296.2	NaN	432.28	306.51	NaN	173.98	427.67	NaN	183.2	404.65	NaN
142.36	394.52	NaN	293.05	295.63	NaN	432.25	306.57	NaN	173.74	427.62	NaN	182.87	404.67	NaN
141.99	394.36	NaN	293.18	295.35	NaN	432.24	306.54	NaN	172.9	427.01	NaN	182.71	404.8	NaN
141.89	394.12	NaN	292.55	296.01	NaN	431.98	307.4	NaN	173.07	427.17	NaN	182.47	404.94	NaN
141.81	394	NaN	292.86	296.04	NaN	431.83	307.91	NaN	173.12	427.34	NaN	182.53	404.92	NaN
141.45	393.88	NaN	292.81	296.07	NaN	431.6	307.81	NaN	173.1	427.3	NaN	182.53	404.95	NaN
