id x y theta
1
1 636.05 110.66 0.131
2 668.82 159.11 -2.095
3 280.80 236.22 2.305
4 750.04 253.93 0.890
5 757.48 295.30 -1.259
6 471.19 306.39 1.361
7 778.25 333.91 1.524
8 48.16 469.09 -1.712
9 59.43 497.23 -1.905
10 623.64 530.03 2.358
11 64.56 534.00 -2.130
12 268.64 569.21 -2.716
13 163.98 630.18 0.589
14 505.54 682.33 -0.176
15 125.29 618.63 1.372
2
1 638.46 112.12 0.311
2 663.49 150.77 -2.126
3 275.47 243.11 2.217
4 750.68 254.79 0.888
5 756.98 292.44 -1.347
6 472.44 313.11 1.296
7 778.19 334.74 1.534
8 47.37 465.27 -1.703
9 59.48 497.49 -1.923
10 623.15 531.45 2.360
11 63.64 529.90 -2.151
12 261.99 567.06 -2.661
13 163.98 630.07 0.607
14 508.22 681.57 -0.191
15 127.98 621.59 1.272
3
1 643.12 115.26 0.365
2 657.50 142.01 -2.086
3 269.91 251.28 2.146
4 750.01 253.96 0.824
5 757.43 289.82 -1.383
6 472.87 317.64 1.276
7 776.27 339.24 1.509
8 46.68 460.13 -1.779
9 59.24 497.03 -1.979
10 621.16 532.17 2.381
11 62.46 526.35 -2.121
12 254.81 564.12 -2.750
13 164.00 630.60 0.601
14 512.93 680.83 -0.168
15 132.29 626.77 1.177
4
1 644.97 115.10 0.340
2 654.39 138.28 -2.128
3 266.50 258.92 2.128
4 749.60 253.56 0.846
5 757.44 289.47 -1.364
6 474.81 323.67 1.281
7 778.16 338.63 1.687
8 45.40 455.03 -1.859
9 58.69 496.15 -2.050
10 616.96 535.37 2.521
11 60.24 523.55 -2.074
12 249.20 560.58 -2.847
13 164.26 631.31 0.611
14 516.34 679.69 -0.173
15 135.74 633.12 1.079
5
1 644.94 114.23 0.329
2 653.84 138.40 -2.149
3 261.56 266.38 2.060
4 748.92 253.19 0.849
5 757.26 290.16 -1.287
6 476.22 330.10 1.249
7 777.88 339.58 1.631
8 43.09 449.74 -1.953
9 57.47 492.62 -2.124
10 613.84 537.30 2.578
11 57.80 522.04 -2.085
12 242.57 557.03 -2.634
13 164.73 632.52 0.629
14 521.50 678.00 -0.213
15 140.60 636.24 0.953
6
1 644.99 113.78 0.347
2 653.63 138.97 -2.168
3 257.25 272.94 2.085
4 748.16 251.87 0.782
5 757.98 291.87 -1.183
6 477.72 335.90 1.282
7 778.26 340.86 1.644
8 42.28 446.47 -1.957
9 55.14 486.16 -2.155
10 610.94 538.49 2.665
11 56.04 520.29 -2.123
12 237.01 555.65 -2.592
13 165.36 633.26 0.660
14 525.20 677.27 -0.209
15 144.72 639.72 0.794
7
1 645.20 114.07 0.355
2 653.25 139.04 -2.189
3 253.73 280.18 2.051
4 747.30 249.82 0.641
5 758.50 292.60 -1.095
6 479.61 340.83 1.313
7 779.08 341.39 1.636
8 41.71 444.41 -1.976
9 52.93 479.33 -2.133
10 606.56 539.34 2.730
11 54.72 518.23 -2.080
12 231.20 552.52 -2.774
13 165.23 633.29 0.720
14 527.28 677.30 -0.302
15 145.68 640.67 0.710
8
1 645.96 113.77 0.350
2 651.54 138.57 -2.287
3 250.01 287.36 2.005
4 745.59 248.44 0.470
5 758.29 293.17 -1.052
6 481.90 346.27 1.215
7 779.04 342.08 1.644
8 41.07 441.43 -1.983
9 50.43 472.07 -2.041
10 602.02 540.84 2.751
11 53.76 514.57 -2.054
12 224.67 549.25 -2.781
13 165.46 633.73 0.788
14 530.19 676.55 -0.318
15 146.05 642.12 0.695
9
1 646.56 113.52 0.313
2 646.42 136.51 -2.417
3 246.37 295.09 2.051
4 744.93 247.48 0.375
5 758.62 293.16 -1.016
6 483.31 351.69 1.193
7 778.52 343.07 1.715
8 40.86 439.89 -1.907
9 48.20 469.84 -2.056
10 596.24 543.50 2.857
11 53.22 509.40 -1.955
12 218.45 546.15 -2.590
13 165.45 633.50 0.836
14 533.61 674.54 -0.255
15 147.99 645.04 0.663
10
1 648.31 113.55 0.290
2 641.94 134.83 -2.466
3 243.97 302.61 1.939
4 744.27 246.85 0.344
5 758.80 292.69 -1.017
6 484.60 355.35 1.197
7 779.37 344.53 1.712
8 41.02 439.15 -1.896
9 46.65 468.60 -2.069
10 590.35 544.72 2.867
11 52.39 506.03 -1.994
12 212.71 542.84 -2.573
13 165.51 633.82 0.885
14 538.71 672.38 -0.283
15 152.75 647.90 0.659
11
1 650.28 113.85 0.308
2 638.51 135.03 -2.574
3 241.74 308.50 1.857
4 744.09 245.83 0.255
5 758.20 291.30 -1.079
6 487.54 360.72 1.190
7 779.33 346.42 1.712
8 40.48 436.13 -1.913
9 46.12 467.70 -2.097
10 585.80 544.95 2.826
11 50.96 504.05 -1.954
12 208.07 538.31 -2.579
13 165.77 634.10 0.945
